TotRmsAbvGrd,YearBuilt,LandContour,BsmtFinSF1,GarageCars,1stFlrSF,TotalBsmtSF,2ndFlrSF,GrLivArea,OverallQual,Saleprice
5,1981,Low,1810,3,1842,1842,0,1842,9,385000
6,1955,Bnk,384,2,1360,384,0,1360,5,130000
7,1964,Lvl,490,2,1425,1425,0,1425,6,180500
7,1999,Lvl,649,2,983,970,756,1739,8,172500
7,2004,Lvl,0,2,860,860,860,1720,7,196500
10,2006,HLS,0,3,1426,1410,1519,2945,10,438780
4,1972,Bnk,632,1,780,780,0,780,5,124900
5,2004,Lvl,941,2,1158,1158,0,1158,6,158000
6,1920,Lvl,0,1,581,530,530,1111,5,101000
6,2006,Lvl,24,2,1370,1370,0,1370,8,202500
9,1921,Bnk,0,2,902,576,808,1710,7,140000
8,1997,Lvl,739,2,1057,1057,977,2034,7,219500
9,2004,Lvl,0,3,1143,1143,1330,2473,8,317000
7,1970,Lvl,912,2,2207,1947,0,2207,7,180000
7,2003,Lvl,1013,2,1479,1453,0,1479,7,226000
4,1945,Lvl,0,1,747,747,0,747,4,80000
7,1953,Lvl,603,2,1304,1304,983,2287,7,225000
8,1973,Lvl,1880,2,2223,2223,0,2223,7,244000
4,1982,Lvl,565,2,845,845,0,845,4,129500
7,1998,Lvl,0,2,885,832,833,1718,7,185000
6,1954,Lvl,320,2,1086,1086,0,1086,5,144900
8,1915,Lvl,0,1,840,840,765,1605,3,107400
5,1973,Lvl,462,1,526,462,462,988,4,91000
4,1956,Lvl,228,1,952,952,0,952,4,135750
6,1948,Lvl,336,1,1072,672,213,1285,5,127000
8,1968,Lvl,0,0,1768,1768,0,1768,4,136500
5,1910,Lvl,0,2,682,440,548,1230,5,110000
8,1968,Lvl,448,1,1182,896,960,2142,6,193500
5,1998,Lvl,1201,2,1337,1237,0,1337,6,153500
6,2007,Lvl,33,3,1563,1563,0,1563,8,245000
6,1960,Lvl,0,2,1065,1065,0,1065,5,126500
7,1995,Lvl,0,2,804,384,670,1474,7,168500
9,1991,Lvl,0,2,1301,1288,1116,2417,8,260000
6,2005,Lvl,0,2,684,684,876,1560,6,174000
4,2009,Lvl,0,2,612,612,612,1224,6,164500
6,1915,Lvl,0,0,1013,1013,0,1526,3,85000
5,1994,Lvl,588,0,990,990,0,990,4,123600
4,1950,Lvl,0,2,1040,0,0,1040,4,109900
6,1961,Lvl,600,2,1235,1235,0,1235,5,98600
5,1921,HLS,713,2,964,876,0,964,5,163500
9,1910,Lvl,1046,2,1260,1214,1031,2291,6,133900
7,1997,Lvl,648,2,905,824,881,1786,6,204750
6,1993,Lvl,310,2,680,680,790,1470,6,185000
6,1999,Lvl,1162,2,1588,1588,0,1588,7,214000
6,1965,HLS,520,1,960,960,0,960,4,94750
5,1920,Lvl,108,1,835,458,0,835,5,83000
6,1959,Lvl,569,0,1225,950,0,1225,4,128950
6,1977,Lvl,1200,2,1610,1610,0,1610,6,205000
7,1985,Lvl,0,2,977,741,755,1732,6,178000
8,1979,Bnk,0,2,1535,0,0,1535,5,118964
6,2009,Lvl,0,3,1226,1226,0,1226,7,198900
7,1931,Lvl,224,1,1226,1040,592,1818,7,169500
9,2003,Lvl,0,2,1053,1053,939,1992,8,250000
6,1885,Lvl,0,1,1047,641,0,1047,4,100000
5,1948,Lvl,104,1,789,789,0,789,5,115000
7,1919,Lvl,0,0,997,793,520,1517,5,115000
7,1977,Lvl,705,2,1844,1844,0,1844,6,190000
7,1954,Lvl,444,1,1216,994,639,1855,6,136900
7,2000,Lvl,250,2,774,384,656,1430,7,180000
10,2007,Lvl,984,3,1282,1264,1414,2696,7,383970
7,1953,Bnk,35,2,2259,1809,0,2259,6,217000
9,1945,Lvl,774,1,1436,1028,884,2320,6,259500
5,1999,Lvl,419,2,729,729,729,1458,6,176000
6,1962,Lvl,170,1,1092,1092,0,1092,5,139000
5,2006,Lvl,0,2,1125,1125,0,1125,5,155000
11,1990,Lvl,1470,3,1699,1673,1523,3222,7,320000
8,2005,Lvl,0,2,728,728,728,1456,6,163990
4,1969,Low,938,2,988,938,0,988,6,180000
4,1939,Lvl,0,1,772,732,351,1123,4,100000
5,1958,Lvl,570,1,1080,1080,0,1080,6,136000
5,1993,Lvl,300,2,1199,1199,0,1199,6,153900
7,1979,Lvl,0,2,1586,1362,0,1586,6,181000
5,1935,Lvl,490,0,520,520,0,754,6,84500
5,1976,Lvl,120,2,958,1078,0,958,6,128000
5,1930,Bnk,116,0,840,672,0,840,5,87000
6,1966,Lvl,512,2,660,660,688,1348,6,155000
6,1958,Lvl,567,2,1053,1008,0,1053,5,150000
8,1966,Lvl,445,2,1216,924,941,2157,7,226000
7,2000,Lvl,695,2,1022,992,1032,2054,6,244000
7,1959,Lvl,405,2,1327,1063,0,1327,5,150750
6,2001,Lvl,1005,2,1296,1267,0,1296,8,220000
7,1968,Lvl,570,2,1721,1461,0,1721,5,180000
7,1970,Lvl,0,2,1682,1304,0,1682,7,174000
5,1967,Lvl,695,1,1214,1214,0,1214,5,143000
9,1988,Lvl,0,3,1959,1907,0,1959,7,171000
7,1999,Lvl,668,3,1004,1004,848,1852,8,230000
7,1997,Lvl,821,2,928,928,836,1764,6,231500
5,1971,Lvl,432,0,864,864,0,864,4,115000
7,2005,Lvl,1300,2,1734,1734,0,1734,7,260000
6,1952,Lvl,507,2,910,910,475,1385,5,166000
6,1999,Lvl,679,2,1501,1490,0,1501,7,204000
10,1963,Lvl,1332,2,1728,1728,0,1728,5,125000
7,2004,Lvl,0,2,970,970,739,1709,6,130000
5,1931,Lvl,209,1,875,715,0,875,5,105000
8,2001,Lvl,0,2,884,884,1151,2035,7,222500
6,2004,Lvl,680,0,1080,1080,0,1080,7,141000
7,1936,Lvl,0,1,896,896,448,1344,5,115000
5,1975,Lvl,716,2,969,969,0,969,5,122000
6,2007,Lvl,1400,3,1710,1710,0,1710,8,372402
8,1971,Lvl,416,2,1097,825,896,1993,6,190000
4,1960,Lvl,429,2,1252,1602,0,1252,6,235000
7,1923,Lvl,0,1,1200,1200,0,1200,6,125000
5,1924,Lvl,0,0,572,572,524,1096,6,79000
5,1950,Lvl,0,2,1040,0,0,1040,5,109500
8,2009,Lvl,0,3,774,774,1194,1968,8,269500
8,2004,Lvl,222,2,991,991,956,1947,7,254900
9,2005,HLS,57,2,1392,1392,1070,2462,7,320000
6,1984,Lvl,660,2,1232,1232,0,1232,6,162500
10,2003,Lvl,1016,3,1572,1572,1096,2668,9,412500
7,2005,Lvl,1201,2,1541,1541,0,1541,7,220000
4,1956,Lvl,0,0,882,882,0,882,4,103200
5,1926,Lvl,370,1,1149,1149,467,1616,6,152000
6,1940,Lvl,351,0,808,644,547,1355,5,127500
7,1955,Lvl,379,1,1867,1617,0,1867,5,190000
8,2007,Lvl,1288,3,1610,1582,551,2161,8,325624
7,2004,Lvl,0,2,840,840,880,1720,7,183500
6,1981,Lvl,0,2,1707,1686,0,1707,8,228000
7,1941,Lvl,360,2,854,720,0,1382,5,128500
7,1960,Lvl,639,2,1656,1080,0,1656,6,215000
5,1987,Lvl,495,2,1064,1064,703,1767,7,239000
6,1961,Lvl,288,2,1362,1362,0,1362,6,163000
7,1986,Lvl,1398,2,1651,1606,0,1651,6,184000
7,1950,Lvl,477,2,2158,1202,0,2158,6,243000
8,1988,Lvl,831,2,1164,1151,896,2060,6,211000
8,1958,Lvl,57,2,1252,1052,668,1920,5,172500
9,2008,Lvl,1904,3,2234,2216,0,2234,9,501837
5,1923,Lvl,0,2,968,968,0,968,5,100000
5,2000,Lvl,436,2,769,756,756,1525,6,177000
9,1920,Lvl,352,1,901,793,901,1802,7,200100
7,1957,Lvl,0,1,1340,0,0,1340,5,120000
6,2003,Lvl,0,2,1362,1362,720,2082,7,200000
5,1908,Lvl,0,2,936,504,316,1252,5,127000
12,1892,Lvl,0,3,1518,1107,1518,3608,10,475000
6,1990,Lvl,611,2,1217,1188,0,1217,7,173000
8,1916,Lvl,0,1,808,660,704,1656,5,135000
6,1979,Bnk,1086,2,1224,1086,0,1224,5,153337
5,2001,Lvl,1153,2,1593,1593,0,1593,8,286000
10,1932,Bnk,297,2,1549,853,1178,2727,8,315000
7,1972,Lvl,626,2,725,725,754,1479,7,184000
6,1999,Lvl,560,2,1431,1431,0,1431,7,192000
7,2004,Lvl,0,2,970,970,739,1709,7,130000
5,1972,Lvl,390,1,864,864,0,864,5,127000
7,1976,Lvl,566,2,855,855,601,1456,6,148500
8,2007,Lvl,1126,3,1726,1726,0,1726,7,311872
8,1918,Lvl,1036,2,1360,1360,1360,3112,8,235000
8,1912,Lvl,0,0,929,755,929,2229,6,104000
7,2004,Lvl,1088,3,1713,1713,0,1713,8,274900
5,2003,Lvl,0,2,1121,1121,0,1121,4,140000
6,1977,Lvl,641,2,1279,1196,0,1279,6,171500
6,1924,Lvl,617,1,865,617,445,1310,6,112000
3,2004,Lvl,662,2,848,848,0,848,6,149000
5,1947,Lvl,312,1,720,720,564,1284,5,110000
5,1990,Lvl,0,2,1442,1424,0,1442,7,180500
8,1962,Lvl,0,1,1696,1140,0,1696,5,143900
6,1960,Lvl,419,1,1100,1100,0,1100,4,141000
7,1988,Low,1065,2,1180,1157,882,2062,7,277000
6,1964,Lvl,787,2,1092,1092,0,1092,6,145000
5,1925,Lvl,468,0,864,864,0,864,5,98000
6,2009,Lvl,36,2,1212,1212,0,1212,6,186000
7,2009,Lvl,822,2,932,900,920,1852,7,252678
5,1995,Lvl,716,2,990,990,0,990,5,156000
6,1977,Lvl,378,1,689,689,703,1392,6,161750
6,1957,Lvl,360,1,1236,1070,0,1236,5,134450
8,2004,Lvl,946,2,1436,1436,0,1436,7,210000
8,1925,Lvl,0,1,810,686,518,1328,4,107000
8,1939,Lvl,341,2,1137,798,817,1954,7,311500
5,2005,Lvl,16,2,1248,1248,0,1248,7,167240
5,2006,Lvl,0,2,1498,1498,0,1498,7,204900
8,2002,Lvl,0,2,1010,1010,1257,2267,6,200000
6,1975,Lvl,550,2,811,713,741,1552,6,179900
4,1971,Lvl,524,2,864,864,0,864,4,97000
8,2003,Lvl,56,3,2392,2392,0,2392,10,386250
6,1971,Lvl,0,1,630,630,672,1302,5,112000
9,1995,Lvl,565,3,1214,1203,1306,2520,7,290000
5,1970,Lvl,321,1,483,483,504,987,6,106000
5,1967,Lvl,842,1,912,912,0,912,5,125000
7,2005,Lvl,16,2,1555,1373,0,1555,7,192500
6,1959,Lvl,0,1,1194,1194,0,1194,6,148000
9,1995,Lvl,689,3,1490,1462,1304,2794,8,403000
5,1972,Lvl,0,1,483,483,504,987,6,94500
5,1976,Lvl,182,1,894,894,0,894,5,128200
8,2002,Lvl,625,2,860,860,1100,1960,6,216500
5,1971,Lvl,358,1,483,483,504,987,6,89500
6,2004,Lvl,24,2,1414,1414,0,1414,7,185500
7,1993,Lvl,402,2,1014,996,730,1744,7,194500
7,2007,Lvl,0,3,1694,1694,0,1694,8,318000
7,1945,Lvl,94,1,798,735,689,1487,6,113000
7,2008,Lvl,1078,2,1566,1566,0,1566,8,262500
4,1945,Lvl,329,0,866,686,0,866,5,110500
6,1900,Lvl,0,1,889,540,551,1440,5,79000
6,1980,Lvl,0,1,626,626,591,1217,6,120000
8,1994,Lvl,695,2,1222,948,888,2110,7,205000
6,1988,Lvl,929,2,1872,1845,0,1872,7,241500
9,1910,Lvl,0,1,908,1020,1020,1928,6,137000
5,1954,Lvl,0,2,1375,1367,0,1375,6,140000
8,2003,Lvl,0,2,840,840,828,1668,7,180000
7,1958,Low,697,2,1444,1444,700,2144,6,277000
6,1940,Lvl,0,0,1306,728,0,1306,3,76500
5,2006,HLS,1573,2,1625,1573,0,1625,8,235000
6,2004,Lvl,0,2,798,798,842,1640,6,173000
7,1964,Lvl,270,1,1302,1302,0,1302,6,158000
5,1957,Lvl,922,1,1314,1314,0,1314,5,145000
8,1999,Lvl,0,2,1005,975,1286,2291,7,230000
7,2003,Lvl,503,2,864,864,864,1728,6,207500
8,2006,Lvl,1334,2,1604,1604,0,1604,7,220000
7,2001,Lvl,361,2,963,963,829,1792,7,231500
4,1956,Lvl,0,1,882,0,0,882,5,97000
6,1962,Lvl,672,2,1382,1362,0,1382,6,176000
10,2007,Lvl,0,3,1482,1482,1092,2574,8,276000
6,1977,Lvl,506,2,1212,506,0,1212,6,151000
6,1929,Lvl,234,2,926,926,0,1316,5,130000
4,1925,Bnk,0,2,764,680,0,764,5,73000
7,1981,Lvl,588,2,1422,1422,0,1422,6,175500
8,1997,HLS,714,2,802,802,709,1511,6,185000
8,1939,Bnk,378,1,1052,720,720,2192,5,179500
4,1940,Lvl,403,1,778,740,0,778,5,120500
6,1976,Lvl,751,1,1113,1143,0,1113,6,148000
8,2006,Lvl,0,3,1095,1095,844,1939,8,266000
5,1954,Low,226,2,1363,1385,0,1363,7,241500
9,1999,Lvl,524,3,1164,1152,1106,2270,8,290000
6,1958,Lvl,620,1,1632,1240,0,1632,6,139000
5,1982,Lvl,546,1,816,816,0,816,5,124500
5,1925,Lvl,0,2,952,952,596,1548,7,205000
7,2003,Lvl,0,2,1560,1560,0,1560,7,201000
4,1951,Lvl,120,2,864,864,0,864,4,141000
8,2006,Lvl,0,3,2121,2121,0,2121,9,415298
8,1977,Lvl,392,2,1156,1160,866,2022,7,192000
7,1989,Lvl,421,2,1175,807,807,1982,7,228500
5,2006,Lvl,905,2,1262,1262,0,1262,6,185000
6,2007,Lvl,904,2,1314,1314,0,1314,7,207500
6,2008,Lvl,0,3,1468,1468,0,1468,8,244600
5,1992,Lvl,430,2,1575,1575,0,1575,6,179200
5,2006,Lvl,0,2,625,625,625,1250,7,164700
7,1962,Bnk,600,2,1085,912,649,1734,6,159000
5,1971,Lvl,614,0,858,858,0,858,4,88000
5,1967,Lvl,450,1,900,882,0,900,5,122000
7,1915,Lvl,0,1,698,698,698,1396,6,153575
8,2006,Lvl,0,2,1079,1079,840,1919,8,233230
9,1912,Bnk,210,0,936,780,780,1716,5,135900
8,1949,Lvl,292,1,1148,768,568,1716,5,131000
9,1977,Lvl,795,2,1468,795,795,2263,7,235000
7,1953,Lvl,1285,2,1644,1416,0,1644,6,167000
6,1984,Lvl,819,2,1003,1003,0,1003,6,142500
6,1950,Lvl,420,1,910,910,648,1558,5,152000
7,1997,Lvl,649,2,975,975,975,1950,7,239000
7,1968,Lvl,384,2,1041,702,702,1743,6,175000
6,1950,Lvl,0,1,1152,1092,0,1152,6,158500
5,1953,Lvl,841,1,1336,1165,0,1336,5,157000
9,1998,Lvl,281,2,1210,1028,1242,2452,8,267000
6,2001,Lvl,0,3,1541,1541,0,1541,7,205000
5,1972,Lvl,894,2,894,894,0,894,5,149900
10,1880,Lvl,0,3,1675,1470,1818,3493,7,295000
8,2004,Lvl,1464,3,2000,2000,0,2000,8,305900
8,1990,Lvl,700,3,1122,700,1121,2243,7,225000
6,1920,Lvl,0,0,1035,319,371,1406,6,89500
4,1940,Lvl,262,2,861,861,0,861,4,82500
8,2003,Lvl,1274,3,1944,1896,0,1944,9,360000
6,1993,Lvl,518,2,697,697,804,1501,6,165600
5,1948,Lvl,680,1,972,972,0,972,6,132000
5,1939,Lvl,507,2,793,793,325,1118,5,119900
8,1965,Low,1236,2,2036,2136,0,2036,7,375000
6,1925,Lvl,16,2,832,728,809,1641,7,178000
6,2004,Lvl,425,2,716,716,716,1432,7,188500
10,1980,Lvl,692,2,1153,845,1200,2353,7,260000
8,2006,Lvl,0,3,1088,1088,871,1959,8,270000
9,1993,Low,987,3,1372,1347,1274,2646,7,260000
6,1980,Lvl,1036,2,1472,1372,0,1472,7,187500
9,2006,Lvl,0,3,1249,1249,1347,2596,9,342643
10,2004,Lvl,970,3,1136,1136,1332,2468,8,354000
8,1986,Lvl,28,2,1553,1502,1177,2730,7,301000
6,1955,Lvl,256,1,1163,1162,0,1163,3,126175
11,1967,Lvl,0,2,1898,710,1080,2978,7,242000
5,1941,Lvl,116,2,803,720,0,803,5,87000
6,1993,Lvl,1619,2,1719,1719,0,1719,8,324000
7,1960,Lvl,565,1,1383,1383,0,1383,6,145250
10,1916,Bnk,0,2,1445,844,689,2134,6,214500
6,1920,Lvl,0,1,596,596,596,1192,5,78000
10,1964,Lvl,40,1,1728,1728,0,1728,5,119000
6,1958,Lvl,846,1,1056,1056,0,1056,5,139000
7,2003,Lvl,1124,3,1629,3206,0,1629,8,284000
6,2004,Lvl,720,2,1358,1358,0,1358,7,207000
7,1998,Lvl,828,2,943,943,695,1638,6,192000
7,1965,HLS,1249,2,1619,1499,167,1786,5,228950
8,2005,HLS,1249,3,1922,1922,0,1922,9,377426
7,2002,Lvl,810,2,1536,1536,0,1536,7,214000
8,1984,Lvl,213,2,1621,1208,0,1621,7,202500
6,1958,Lvl,585,1,1215,1215,0,1215,6,155000
9,2002,Lvl,0,2,993,967,915,1908,8,202900
4,1950,Lvl,0,1,841,721,0,841,4,82000
6,1949,Lvl,0,2,1040,0,0,1040,3,87500
6,2005,Lvl,28,2,1684,1684,0,1684,9,266000
4,1976,Lvl,129,1,536,536,576,1112,5,85000
6,1939,Lvl,0,1,972,972,605,1577,6,140200
5,1960,Lvl,498,1,958,958,0,958,6,151500
6,1960,Lvl,1270,2,1478,1478,0,1478,6,157500
6,2003,Lvl,573,2,764,764,862,1626,7,154000
10,2005,Lvl,1410,3,1848,1848,880,2728,9,437154
6,2007,Lvl,0,2,1869,1869,0,1869,9,318061
6,1986,Low,1082,2,1453,1453,0,1453,7,190000
5,1941,Lvl,236,1,616,616,495,1111,5,95000
5,1928,Lvl,0,2,720,624,0,720,6,105900
6,1940,Bnk,388,1,1192,940,403,1595,6,140000
6,1995,Lvl,334,2,1200,1200,0,1200,6,177500
6,1992,Lvl,560,2,1167,1158,0,1167,6,173000
6,1976,Lvl,874,2,1142,1142,0,1142,5,134000
6,1958,Lvl,300,1,1352,1062,0,1352,5,130000
7,1998,Lvl,956,2,1086,1086,838,1924,8,280000
5,1978,Lvl,773,2,912,888,0,912,6,156000
8,1940,Lvl,399,1,988,883,517,1505,5,145000
7,2003,Lvl,0,2,495,0,1427,1922,7,198500
5,1972,Lvl,162,1,483,483,504,987,6,118000
6,1976,Lvl,712,2,790,796,784,1574,6,190000
6,1920,Lvl,456,1,672,672,672,1344,5,147000
6,1963,Lvl,609,2,1394,1394,0,1394,6,159000
6,1962,Lvl,371,1,1431,1099,0,1431,6,165000
7,1954,Lvl,540,1,1268,1268,0,1268,5,132000
7,1959,Lvl,72,2,1287,1063,0,1287,5,162000
7,2000,Lvl,0,2,953,953,711,1664,6,172400
7,1959,Lvl,0,2,1120,0,468,1588,4,134432
4,1984,Lvl,623,1,752,744,0,752,6,125000
5,1953,Lvl,428,1,1319,608,0,1319,5,123000
8,2003,Lvl,0,2,847,847,1081,1928,7,219500
4,1922,Low,350,0,904,683,0,904,1,61000
5,1996,Lvl,298,2,914,870,0,914,5,148000
8,2004,Lvl,0,2,1580,1580,886,2466,8,340000
8,2010,Lvl,1445,3,1856,1856,0,1856,9,394432
7,2000,Lvl,0,2,1007,982,793,1800,6,179000
6,1924,Lvl,218,1,1026,1026,665,1691,5,127000
5,2006,Lvl,0,2,1301,1293,0,1301,7,187750
8,2006,Lvl,0,2,939,939,858,1797,7,213500
5,1928,Lvl,0,2,784,784,0,784,6,76000
9,1992,Low,985,2,1079,1580,874,1953,6,240000
6,2004,Lvl,24,2,1269,1256,0,1269,8,192000
8,1910,Lvl,0,0,658,658,526,1184,5,81000
6,1976,Lvl,631,1,1125,1041,0,1125,6,125000
6,1999,Lvl,0,2,1479,1468,0,1479,7,191000
9,2007,Lvl,1280,3,1742,1682,590,2332,10,426000
7,1900,Lvl,241,1,961,861,406,1367,5,119000
7,2001,Lvl,690,2,804,804,1157,1961,6,215000
5,1959,Lvl,0,1,882,0,0,882,5,106500
4,1941,Lvl,266,0,788,788,0,788,4,100000
5,1940,Lvl,0,1,735,735,299,1034,5,109000
6,1956,Lvl,739,1,1144,1144,0,1144,5,129000
6,1972,Low,777,2,894,894,0,894,5,123000
8,1962,Lvl,540,1,876,864,936,1812,5,169500
6,1920,Lvl,0,1,1077,961,0,1077,5,67000
7,2006,Lvl,812,2,1112,1092,438,1550,7,241000
4,1996,Lvl,786,2,1288,1260,0,1288,8,245500
6,2005,Lvl,24,2,1310,1310,0,1310,7,164990
4,1940,Lvl,0,1,672,672,0,672,5,108000
10,1998,Lvl,0,2,1165,1141,1098,2263,8,258000
7,1995,Lvl,0,2,806,806,766,1572,6,168000
8,1976,Lvl,1116,2,1620,1281,0,1620,4,150000
6,1936,Lvl,0,1,1166,1064,0,1639,6,115000
8,1915,Lvl,0,1,840,840,840,1680,6,177000
9,2006,Lvl,0,3,1071,1063,1101,2172,7,280000
8,2007,Lvl,789,3,1050,1034,1028,2078,8,339750
5,1958,Lvl,0,1,1276,1276,0,1276,5,60000
5,1955,Bnk,1056,2,1056,1056,0,1056,5,145000
7,2009,Lvl,578,2,1478,1470,0,1478,7,222000
5,1927,Lvl,0,2,1028,1008,0,1028,5,115000
9,1993,Lvl,50,3,1080,1080,1017,2097,7,228000
6,2007,Lvl,24,2,1340,1340,0,1340,7,181134
6,1978,Lvl,209,2,672,672,728,1400,6,149500
10,1918,Lvl,1128,3,1370,1370,1254,2624,6,239000
7,1940,Lvl,312,1,756,756,378,1134,5,126000
6,1968,Lvl,775,1,1056,1056,0,1056,5,142000
8,1997,Lvl,1309,4,1344,1344,0,1344,7,206300
8,1977,Lvl,1246,2,1602,1602,0,1602,6,215000
4,1954,HLS,0,2,988,988,0,988,5,113000
8,1998,Lvl,986,3,1470,1470,1160,2630,8,315000
6,1956,Lvl,616,1,1196,1196,0,1196,6,139000
6,1946,HLS,0,1,707,651,682,1389,7,135000
5,1989,Low,1518,2,1644,1518,0,1644,7,275000
5,1957,Lvl,288,1,907,907,0,907,4,109008
6,2007,Lvl,664,2,1208,1208,0,1208,7,195400
6,1988,Lvl,1005,2,1412,1392,0,1412,6,175000
4,1971,Lvl,387,1,483,483,504,987,6,85400
7,1920,Bnk,0,0,1088,901,110,1198,6,79900
6,1971,Lvl,471,2,765,765,600,1365,5,122500
7,1997,Lvl,0,2,926,926,678,1604,6,181000
3,1972,Lvl,495,0,630,630,0,630,4,81000
6,1996,Lvl,385,2,827,799,834,1661,7,212000
6,1920,Lvl,0,2,734,648,384,1118,6,116000
4,1926,Lvl,0,1,904,884,0,904,6,119000
4,1913,Lvl,365,1,694,440,0,694,5,90350
7,1920,Lvl,0,2,684,684,512,1196,6,110000
10,2008,Lvl,1767,3,2402,3094,0,2402,10,555000
8,1955,Lvl,133,0,1440,1440,0,1440,4,118000
8,1930,Lvl,0,2,1128,1078,445,1573,5,162900
6,2006,Lvl,0,3,1258,1258,0,1258,7,172500
8,1994,Lvl,642,2,933,915,975,1908,7,210000
7,1956,Lvl,0,2,1689,1436,0,1689,6,127500
6,1966,Lvl,247,2,1888,1517,0,1888,6,190000
10,1998,Lvl,0,2,956,930,930,1886,7,199900
7,1937,Bnk,0,1,780,780,596,1376,6,119500
6,1948,Lvl,331,1,679,649,504,1183,3,120000
5,1930,Lvl,0,1,813,813,0,813,6,110000
5,1975,Low,655,2,1533,1533,0,1533,7,280000
7,1996,Lvl,742,2,888,872,868,1756,6,204000
6,2008,Lvl,0,2,786,768,804,1590,8,210000
8,1976,Lvl,1606,2,1728,1728,0,1728,5,188000
6,1973,Lvl,916,2,1242,1242,0,1242,7,175500
7,1916,Lvl,0,3,624,624,720,1344,5,98000
6,1954,Low,1116,2,1663,1364,0,1663,4,256000
7,1925,Lvl,0,1,833,588,833,1666,8,161000
5,1950,Bnk,185,1,979,709,224,1203,5,110000
8,2009,Lvl,544,2,832,832,1103,1935,8,263435
6,1936,Lvl,350,2,575,560,560,1135,7,155000
5,1965,Lvl,553,1,864,864,0,864,5,62383
6,1934,HLS,326,1,849,715,811,1660,6,188700
5,1978,HLS,616,0,1040,1040,0,1040,5,124000
6,2004,Lvl,0,2,1414,1375,0,1414,7,178740
5,1970,Lvl,778,2,1277,1277,0,1277,7,167000
7,1942,Lvl,386,1,888,728,756,1644,5,146500
7,2006,Lvl,0,3,1634,1626,0,1634,8,250000
7,1993,Lvl,426,2,832,832,878,1710,6,187000
4,1985,Lvl,368,2,1502,1488,0,1502,8,212000
8,1977,Lvl,0,2,1161,808,808,1969,7,190000
5,2005,Lvl,459,2,1072,547,0,1072,6,148000
7,2006,Lvl,1350,3,1976,1976,0,1976,8,440000
6,2000,Lvl,1196,2,1652,1494,0,1652,8,251000
