YearRemodAdd,OverallCond,BsmtQual,LotArea,MSZoning,TotRmsAbvGrd,YearBuilt,LandContour,BsmtFinSF1,GarageCars,1stFlrSF,TotalBsmtSF,2ndFlrSF,GrLivArea,OverallQual,Saleprice
2004,5,Ex,13688,RL,10,2003,Lvl,1016,3,1572,1572,1096,2668,9,412500
2005,5,Gd,12182,RL,7,2005,Lvl,1201,2,1541,1541,0,1541,7,220000
1956,6,TA,5500,RL,4,1956,Lvl,0,0,882,882,0,882,4,103200
2004,7,TA,5400,RM,5,1926,Lvl,370,1,1149,1149,467,1616,6,152000
1999,7,TA,10106,RL,6,1940,Lvl,351,0,808,644,547,1355,5,127500
1993,5,TA,10708,RL,7,1955,Lvl,379,1,1867,1617,0,1867,5,190000
2007,5,Ex,10562,RL,8,2007,Lvl,1288,3,1610,1582,551,2161,8,325624
2004,5,Gd,8244,RL,7,2004,Lvl,0,2,840,840,880,1720,7,183500
1981,6,Gd,16669,RL,6,1981,Lvl,0,2,1707,1686,0,1707,8,228000
1950,6,TA,12358,RM,7,1941,Lvl,360,2,854,720,0,1382,5,128500
1960,5,TA,31770,RL,7,1960,Lvl,639,2,1656,1080,0,1656,6,215000
1987,7,Gd,5306,RL,5,1987,Lvl,495,2,1064,1064,703,1767,7,239000
1961,5,TA,10197,RL,6,1961,Lvl,288,2,1362,1362,0,1362,6,163000
1986,5,Gd,12416,RL,7,1986,Lvl,1398,2,1651,1606,0,1651,6,184000
2001,7,TA,12615,RL,7,1950,Lvl,477,2,2158,1202,0,2158,6,243000
1989,5,Gd,10029,RL,8,1988,Lvl,831,2,1164,1151,896,2060,6,211000
1958,5,TA,13650,RL,8,1958,Lvl,57,2,1252,1052,668,1920,5,172500
2009,5,Ex,17423,RL,9,2008,Lvl,1904,3,2234,2216,0,2234,9,501837
2006,6,TA,8520,RM,5,1923,Lvl,0,2,968,968,0,968,5,100000
2000,5,Gd,2117,FV,5,2000,Lvl,436,2,769,756,756,1525,6,177000
1950,6,Fa,7588,RL,9,1920,Lvl,352,1,901,793,901,1802,7,200100
2006,6,,9060,RL,7,1957,Lvl,0,1,1340,0,0,1340,5,120000
2003,5,Gd,11426,RM,6,2003,Lvl,0,2,1362,1362,720,2082,7,200000
1991,8,Fa,7438,RL,5,1908,Lvl,0,2,936,504,316,1252,5,127000
1993,9,TA,22950,RM,12,1892,Lvl,0,3,1518,1107,1518,3608,10,475000
1991,5,Gd,9947,RL,6,1990,Lvl,611,2,1217,1188,0,1217,7,173000
1987,7,Fa,10410,RL,8,1916,Lvl,0,1,808,660,704,1656,5,135000
1979,5,Gd,7018,RL,6,1979,Bnk,1086,2,1224,1086,0,1224,5,153337
2002,5,Ex,4923,RL,5,2001,Lvl,1153,2,1593,1593,0,1593,8,286000
1994,8,Gd,10570,RL,10,1932,Bnk,297,2,1549,853,1178,2727,8,315000
2004,9,TA,7472,RL,7,1972,Lvl,626,2,725,725,754,1479,7,184000
1999,5,Gd,9017,RL,6,1999,Lvl,560,2,1431,1431,0,1431,7,192000
2004,5,Gd,2522,RM,7,2004,Lvl,0,2,970,970,739,1709,7,130000
1972,7,TA,7180,RL,5,1972,Lvl,390,1,864,864,0,864,5,127000
1976,6,Gd,2280,RL,7,1976,Lvl,566,2,855,855,601,1456,6,148500
2007,5,Ex,9416,RL,8,2007,Lvl,1126,3,1726,1726,0,1726,7,311872
1990,4,TA,25419,RL,8,1918,Lvl,1036,2,1360,1360,1360,3112,8,235000
1950,6,TA,5520,RM,8,1912,Lvl,0,0,929,755,929,2229,6,104000
2005,5,Ex,9591,RL,7,2004,Lvl,1088,3,1713,1713,0,1713,8,274900
2004,5,Gd,8546,RM,5,2003,Lvl,0,2,1121,1121,0,1121,4,140000
1977,6,TA,10125,RL,6,1977,Lvl,641,2,1279,1196,0,1279,6,171500
1950,6,Fa,7000,RL,6,1924,Lvl,617,1,865,617,445,1310,6,112000
2004,5,Gd,4438,RM,3,2004,Lvl,662,2,848,848,0,848,6,149000
1950,7,TA,3500,RM,5,1947,Lvl,312,1,720,720,564,1284,5,110000
1990,5,Gd,11851,RL,5,1990,Lvl,0,2,1442,1424,0,1442,7,180500
1962,5,TA,13673,RL,8,1962,Lvl,0,1,1696,1140,0,1696,5,143900
1960,5,TA,12493,RL,6,1960,Lvl,419,1,1100,1100,0,1100,4,141000
1989,5,Gd,14364,RL,7,1988,Low,1065,2,1180,1157,882,2062,7,277000
1964,7,Gd,8250,RL,6,1964,Lvl,787,2,1092,1092,0,1092,6,145000
1950,6,TA,5604,RL,5,1925,Lvl,468,0,864,864,0,864,5,98000
2009,5,Gd,10420,RL,6,2009,Lvl,36,2,1212,1212,0,1212,6,186000
2009,5,Gd,8640,FV,7,2009,Lvl,822,2,932,900,920,1852,7,252678
1995,5,Gd,13568,RL,5,1995,Lvl,716,2,990,990,0,990,5,156000
1977,7,Gd,10900,RL,6,1977,Lvl,378,1,689,689,703,1392,6,161750
1996,6,TA,10011,RL,6,1957,Lvl,360,1,1236,1070,0,1236,5,134450
2004,5,Gd,8450,RL,8,2004,Lvl,946,2,1436,1436,0,1436,7,210000
1950,4,TA,9906,RM,8,1925,Lvl,0,1,810,686,518,1328,4,107000
2006,9,TA,15660,RL,8,1939,Lvl,341,2,1137,798,817,1954,7,311500
2006,5,Gd,3010,RL,5,2005,Lvl,16,2,1248,1248,0,1248,7,167240
2006,5,Gd,8990,RL,5,2006,Lvl,0,2,1498,1498,0,1498,7,204900
2002,5,Gd,8068,RL,8,2002,Lvl,0,2,1010,1010,1257,2267,6,200000
1975,6,Gd,11475,RL,6,1975,Lvl,550,2,811,713,741,1552,6,179900
1971,6,TA,10500,RL,4,1971,Lvl,524,2,864,864,0,864,4,97000
2003,5,Ex,13472,RL,8,2003,Lvl,56,3,2392,2392,0,2392,10,386250
1971,5,TA,1680,RM,6,1971,Lvl,0,1,630,630,672,1302,5,112000
1995,5,Gd,9950,RL,9,1995,Lvl,565,3,1214,1203,1306,2520,7,290000
1970,6,TA,1869,RM,5,1970,Lvl,321,1,483,483,504,987,6,106000
1967,5,TA,8521,RL,5,1967,Lvl,842,1,912,912,0,912,5,125000
2006,5,Gd,3182,RL,7,2005,Lvl,16,2,1555,1373,0,1555,7,192500
1959,6,TA,8760,RL,6,1959,Lvl,0,1,1194,1194,0,1194,6,148000
1996,5,Gd,15138,RL,9,1995,Lvl,689,3,1490,1462,1304,2794,8,403000
1972,5,TA,1680,RM,5,1972,Lvl,0,1,483,483,504,987,6,94500
1976,6,TA,10650,RL,5,1976,Lvl,182,1,894,894,0,894,5,128200
2002,5,Gd,7851,RL,8,2002,Lvl,625,2,860,860,1100,1960,6,216500
1971,3,TA,1680,RM,5,1971,Lvl,358,1,483,483,504,987,6,89500
2004,5,Gd,8773,RL,6,2004,Lvl,24,2,1414,1414,0,1414,7,185500
2003,7,Gd,9453,RL,7,1993,Lvl,402,2,1014,996,730,1744,7,194500
2007,5,Ex,12030,RL,7,2007,Lvl,0,3,1694,1694,0,1694,8,318000
1950,4,TA,8741,RL,7,1945,Lvl,94,1,798,735,689,1487,6,113000
2008,5,Gd,9000,FV,7,2008,Lvl,1078,2,1566,1566,0,1566,8,262500
1997,9,TA,3880,RM,4,1945,Lvl,329,0,866,686,0,866,5,110500
1950,4,TA,5000,RM,6,1900,Lvl,0,1,889,540,551,1440,5,79000
1980,6,Gd,10762,RL,6,1980,Lvl,0,1,626,626,591,1217,6,120000
2002,5,Gd,8880,RL,8,1994,Lvl,695,2,1222,948,888,2110,7,205000
1988,5,Gd,10400,RL,6,1988,Lvl,929,2,1872,1845,0,1872,7,241500
1950,8,Fa,9142,RM,9,1910,Lvl,0,1,908,1020,1020,1928,6,137000
1954,5,TA,11310,RL,5,1954,Lvl,0,2,1375,1367,0,1375,6,140000
2003,5,Gd,11317,RL,8,2003,Lvl,0,2,840,840,828,1668,7,180000
2006,7,Gd,159000,RL,7,1958,Low,697,2,1444,1444,700,2144,6,277000
1966,2,TA,5350,RL,6,1940,Lvl,0,0,1306,728,0,1306,3,76500
2007,5,Gd,4750,RM,5,2006,HLS,1573,2,1625,1573,0,1625,8,235000
2004,5,Gd,8366,RL,6,2004,Lvl,0,2,798,798,842,1640,6,173000
1991,7,Gd,9350,RL,7,1964,Lvl,270,1,1302,1302,0,1302,6,158000
1957,6,TA,8400,RL,5,1957,Lvl,922,1,1314,1314,0,1314,5,145000
1999,5,Gd,8738,RL,8,1999,Lvl,0,2,1005,975,1286,2291,7,230000
2003,5,Gd,8791,FV,7,2003,Lvl,503,2,864,864,864,1728,6,207500
2006,5,Gd,8814,RL,8,2006,Lvl,1334,2,1604,1604,0,1604,7,220000
2001,5,Gd,12435,RL,7,2001,Lvl,361,2,963,963,829,1792,7,231500
1956,5,,12702,RM,4,1956,Lvl,0,1,882,0,0,882,5,97000
1962,5,TA,19296,RL,6,1962,Lvl,672,2,1382,1362,0,1382,6,176000
2007,5,Ex,9588,RL,10,2007,Lvl,0,3,1482,1482,1092,2574,8,276000
1995,7,Gd,8471,RL,6,1977,Lvl,506,2,1212,506,0,1212,6,151000
2001,7,TA,5500,RM,6,1929,Lvl,234,2,926,926,0,1316,5,130000
2004,5,Fa,5232,RM,4,1925,Bnk,0,2,764,680,0,764,5,73000
1981,6,Gd,12090,RL,7,1981,Lvl,588,2,1422,1422,0,1422,6,175500
1997,5,Gd,11207,RL,8,1997,HLS,714,2,802,802,709,1511,6,185000
1997,8,TA,8400,RL,8,1939,Bnk,378,1,1052,720,720,2192,5,179500
1955,6,TA,6900,RM,4,1940,Lvl,403,1,778,740,0,778,5,120500
1976,7,TA,7917,RL,6,1976,Lvl,751,1,1113,1143,0,1113,6,148000
2006,5,Gd,10728,FV,8,2006,Lvl,0,3,1095,1095,844,1939,8,266000
2005,7,Gd,39104,RL,5,1954,Low,226,2,1363,1385,0,1363,7,241500
2007,7,Gd,11764,RL,9,1999,Lvl,524,3,1164,1152,1106,2270,8,290000
1988,6,TA,9600,RL,6,1958,Lvl,620,1,1632,1240,0,1632,6,139000
1982,7,TA,8314,RL,5,1982,Lvl,546,1,816,816,0,816,5,124500
2007,7,TA,7264,RL,5,1925,Lvl,0,2,952,952,596,1548,7,205000
2003,5,Ex,9196,RL,7,2003,Lvl,0,2,1560,1560,0,1560,7,201000
1951,5,TA,19138,RL,4,1951,Lvl,120,2,864,864,0,864,4,141000
2007,5,Ex,14450,RL,8,2006,Lvl,0,3,2121,2121,0,2121,9,415298
1977,5,Gd,10005,RL,8,1977,Lvl,392,2,1156,1160,866,2022,7,192000
1989,6,Gd,11287,RL,7,1989,Lvl,421,2,1175,807,807,1982,7,228500
2006,5,Gd,7200,FV,5,2006,Lvl,905,2,1262,1262,0,1262,6,185000
2008,5,Gd,5063,RL,6,2007,Lvl,904,2,1314,1314,0,1314,7,207500
2009,5,Gd,9612,RL,6,2008,Lvl,0,3,1468,1468,0,1468,8,244600
1992,5,Gd,8012,RL,5,1992,Lvl,430,2,1575,1575,0,1575,6,179200
2007,5,Gd,4251,FV,5,2006,Lvl,0,2,625,625,625,1250,7,164700
1981,7,TA,9786,RL,7,1962,Bnk,600,2,1085,912,649,1734,6,159000
1971,4,TA,8125,RL,5,1971,Lvl,614,0,858,858,0,858,4,88000
1967,5,TA,9819,RL,5,1967,Lvl,450,1,900,882,0,900,5,122000
2003,7,TA,8730,RL,7,1915,Lvl,0,1,698,698,698,1396,6,153575
2006,5,Gd,15611,RL,8,2006,Lvl,0,2,1079,1079,840,1919,8,233230
2000,6,TA,5687,RL,9,1912,Bnk,210,0,936,780,780,1716,5,135900
2008,4,TA,11409,RL,8,1949,Lvl,292,1,1148,768,568,1716,5,131000
1994,7,TA,16659,RL,9,1977,Lvl,795,2,1468,795,795,2263,7,235000
1953,5,TA,9600,RL,7,1953,Lvl,1285,2,1644,1416,0,1644,6,167000
1984,6,TA,7937,RL,6,1984,Lvl,819,2,1003,1003,0,1003,6,142500
1950,5,TA,13710,RM,6,1950,Lvl,420,1,910,910,648,1558,5,152000
1998,5,Gd,7399,FV,7,1997,Lvl,649,2,975,975,975,1950,7,239000
1968,6,TA,11700,RL,7,1968,Lvl,384,2,1041,702,702,1743,6,175000
2004,8,TA,14000,RL,6,1950,Lvl,0,1,1152,1092,0,1152,6,158500
1953,5,TA,15750,RL,5,1953,Lvl,841,1,1336,1165,0,1336,5,157000
1999,5,Gd,16226,RL,9,1998,Lvl,281,2,1210,1028,1242,2452,8,267000
2002,5,Gd,13704,RL,6,2001,Lvl,0,3,1541,1541,0,1541,7,205000
1972,7,TA,9800,RL,5,1972,Lvl,894,2,894,894,0,894,5,149900
2002,9,TA,18386,RM,10,1880,Lvl,0,3,1675,1470,1818,3493,7,295000
2005,5,Gd,10386,RL,8,2004,Lvl,1464,3,2000,2000,0,2000,8,305900
1991,5,Gd,13474,RL,8,1990,Lvl,700,3,1122,700,1121,2243,7,225000
1950,7,TA,7920,RM,6,1920,Lvl,0,0,1035,319,371,1406,6,89500
1950,5,TA,12342,RL,4,1940,Lvl,262,2,861,861,0,861,4,82500
2004,5,Ex,12378,RL,8,2003,Lvl,1274,3,1944,1896,0,1944,9,360000
1994,5,Gd,7685,RL,6,1993,Lvl,518,2,697,697,804,1501,6,165600
2002,6,TA,8000,RL,5,1948,Lvl,680,1,972,972,0,972,6,132000
1950,7,Gd,7800,RM,5,1939,Lvl,507,2,793,793,325,1118,5,119900
1965,5,Gd,215245,RL,8,1965,Low,1236,2,2036,2136,0,2036,7,375000
1990,7,TA,9600,RM,6,1925,Lvl,16,2,832,728,809,1641,7,178000
