1stFlrSF,TotalBsmtSF,2ndFlrSF,GrLivArea,OverallQual,Saleprice
1431,1431,0,1431,7,192000
970,970,739,1709,7,130000
864,864,0,864,5,127000
855,855,601,1456,6,148500
1726,1726,0,1726,7,311872
1360,1360,1360,3112,8,235000
929,755,929,2229,6,104000
1713,1713,0,1713,8,274900
1121,1121,0,1121,4,140000
1279,1196,0,1279,6,171500
865,617,445,1310,6,112000
848,848,0,848,6,149000
720,720,564,1284,5,110000
1442,1424,0,1442,7,180500
1696,1140,0,1696,5,143900
1100,1100,0,1100,4,141000
1180,1157,882,2062,7,277000
1092,1092,0,1092,6,145000
864,864,0,864,5,98000
1212,1212,0,1212,6,186000
932,900,920,1852,7,252678
990,990,0,990,5,156000
689,689,703,1392,6,161750
1236,1070,0,1236,5,134450
1436,1436,0,1436,7,210000
810,686,518,1328,4,107000
1137,798,817,1954,7,311500
1248,1248,0,1248,7,167240
1498,1498,0,1498,7,204900
1010,1010,1257,2267,6,200000
811,713,741,1552,6,179900
864,864,0,864,4,97000
2392,2392,0,2392,10,386250
630,630,672,1302,5,112000
1214,1203,1306,2520,7,290000
483,483,504,987,6,106000
912,912,0,912,5,125000
1555,1373,0,1555,7,192500
1194,1194,0,1194,6,148000
1490,1462,1304,2794,8,403000
483,483,504,987,6,94500
894,894,0,894,5,128200
860,860,1100,1960,6,216500
483,483,504,987,6,89500
1414,1414,0,1414,7,185500
1014,996,730,1744,7,194500
1694,1694,0,1694,8,318000
798,735,689,1487,6,113000
1566,1566,0,1566,8,262500
866,686,0,866,5,110500
889,540,551,1440,5,79000
626,626,591,1217,6,120000
1222,948,888,2110,7,205000
1872,1845,0,1872,7,241500
908,1020,1020,1928,6,137000
1375,1367,0,1375,6,140000
840,840,828,1668,7,180000
1444,1444,700,2144,6,277000
1306,728,0,1306,3,76500
1625,1573,0,1625,8,235000
798,798,842,1640,6,173000
1302,1302,0,1302,6,158000
1314,1314,0,1314,5,145000
1005,975,1286,2291,7,230000
864,864,864,1728,6,207500
1604,1604,0,1604,7,220000
963,963,829,1792,7,231500
882,0,0,882,5,97000
1382,1362,0,1382,6,176000
1482,1482,1092,2574,8,276000
1212,506,0,1212,6,151000
926,926,0,1316,5,130000
764,680,0,764,5,73000
1422,1422,0,1422,6,175500
802,802,709,1511,6,185000
1052,720,720,2192,5,179500
778,740,0,778,5,120500
1113,1143,0,1113,6,148000
1095,1095,844,1939,8,266000
1363,1385,0,1363,7,241500
1164,1152,1106,2270,8,290000
1632,1240,0,1632,6,139000
816,816,0,816,5,124500
952,952,596,1548,7,205000
1560,1560,0,1560,7,201000
864,864,0,864,4,141000
2121,2121,0,2121,9,415298
1156,1160,866,2022,7,192000
1175,807,807,1982,7,228500
1262,1262,0,1262,6,185000
1314,1314,0,1314,7,207500
1468,1468,0,1468,8,244600
1575,1575,0,1575,6,179200
625,625,625,1250,7,164700
1085,912,649,1734,6,159000
858,858,0,858,4,88000
900,882,0,900,5,122000
698,698,698,1396,6,153575
1079,1079,840,1919,8,233230
936,780,780,1716,5,135900
1148,768,568,1716,5,131000
1468,795,795,2263,7,235000
1644,1416,0,1644,6,167000
1003,1003,0,1003,6,142500
910,910,648,1558,5,152000
975,975,975,1950,7,239000
1041,702,702,1743,6,175000
1152,1092,0,1152,6,158500
1336,1165,0,1336,5,157000
1210,1028,1242,2452,8,267000
1541,1541,0,1541,7,205000
894,894,0,894,5,149900
1675,1470,1818,3493,7,295000
2000,2000,0,2000,8,305900
1122,700,1121,2243,7,225000
1035,319,371,1406,6,89500
861,861,0,861,4,82500
1944,1896,0,1944,9,360000
697,697,804,1501,6,165600
972,972,0,972,6,132000
793,793,325,1118,5,119900
2036,2136,0,2036,7,375000
832,728,809,1641,7,178000
716,716,716,1432,7,188500
1153,845,1200,2353,7,260000
1088,1088,871,1959,8,270000
1372,1347,1274,2646,7,260000
1472,1372,0,1472,7,187500
1249,1249,1347,2596,9,342643
1136,1136,1332,2468,8,354000
1553,1502,1177,2730,7,301000
1163,1162,0,1163,3,126175
1898,710,1080,2978,7,242000
803,720,0,803,5,87000
1719,1719,0,1719,8,324000
1383,1383,0,1383,6,145250
1445,844,689,2134,6,214500
596,596,596,1192,5,78000
1728,1728,0,1728,5,119000
1056,1056,0,1056,5,139000
1629,3206,0,1629,8,284000
1358,1358,0,1358,7,207000
943,943,695,1638,6,192000
1619,1499,167,1786,5,228950
1922,1922,0,1922,9,377426
1536,1536,0,1536,7,214000
1621,1208,0,1621,7,202500
1215,1215,0,1215,6,155000
993,967,915,1908,8,202900
841,721,0,841,4,82000
1040,0,0,1040,3,87500
1684,1684,0,1684,9,266000
536,536,576,1112,5,85000
972,972,605,1577,6,140200
958,958,0,958,6,151500
1478,1478,0,1478,6,157500
764,764,862,1626,7,154000
1848,1848,880,2728,9,437154
1869,1869,0,1869,9,318061
1453,1453,0,1453,7,190000
616,616,495,1111,5,95000
720,624,0,720,6,105900
1192,940,403,1595,6,140000
1200,1200,0,1200,6,177500
1167,1158,0,1167,6,173000
1142,1142,0,1142,5,134000
1352,1062,0,1352,5,130000
1086,1086,838,1924,8,280000
912,888,0,912,6,156000
988,883,517,1505,5,145000
495,0,1427,1922,7,198500
483,483,504,987,6,118000
790,796,784,1574,6,190000
672,672,672,1344,5,147000
1394,1394,0,1394,6,159000
1431,1099,0,1431,6,165000
1268,1268,0,1268,5,132000
1287,1063,0,1287,5,162000
953,953,711,1664,6,172400
1120,0,468,1588,4,134432
752,744,0,752,6,125000
1319,608,0,1319,5,123000
847,847,1081,1928,7,219500
904,683,0,904,1,61000
914,870,0,914,5,148000
1580,1580,886,2466,8,340000
1856,1856,0,1856,9,394432
1007,982,793,1800,6,179000
1026,1026,665,1691,5,127000
1301,1293,0,1301,7,187750
939,939,858,1797,7,213500
784,784,0,784,6,76000
1079,1580,874,1953,6,240000
1269,1256,0,1269,8,192000
658,658,526,1184,5,81000
1125,1041,0,1125,6,125000
1479,1468,0,1479,7,191000
1742,1682,590,2332,10,426000
961,861,406,1367,5,119000
804,804,1157,1961,6,215000
882,0,0,882,5,106500
788,788,0,788,4,100000
735,735,299,1034,5,109000
1144,1144,0,1144,5,129000
894,894,0,894,5,123000
876,864,936,1812,5,169500
1077,961,0,1077,5,67000
1112,1092,438,1550,7,241000
1288,1260,0,1288,8,245500
1310,1310,0,1310,7,164990
672,672,0,672,5,108000
1165,1141,1098,2263,8,258000
806,806,766,1572,6,168000
1620,1281,0,1620,4,150000
1166,1064,0,1639,6,115000
840,840,840,1680,6,177000
1071,1063,1101,2172,7,280000
1050,1034,1028,2078,8,339750
1276,1276,0,1276,5,60000
1056,1056,0,1056,5,145000
1478,1470,0,1478,7,222000
1028,1008,0,1028,5,115000
1080,1080,1017,2097,7,228000
1340,1340,0,1340,7,181134
672,672,728,1400,6,149500
1370,1370,1254,2624,6,239000
756,756,378,1134,5,126000
1056,1056,0,1056,5,142000
1344,1344,0,1344,7,206300
1602,1602,0,1602,6,215000
988,988,0,988,5,113000
1470,1470,1160,2630,8,315000
1196,1196,0,1196,6,139000
707,651,682,1389,7,135000
1644,1518,0,1644,7,275000
907,907,0,907,4,109008
1208,1208,0,1208,7,195400
1412,1392,0,1412,6,175000
483,483,504,987,6,85400
1088,901,110,1198,6,79900
765,765,600,1365,5,122500
926,926,678,1604,6,181000
630,630,0,630,4,81000
827,799,834,1661,7,212000
734,648,384,1118,6,116000
904,884,0,904,6,119000
694,440,0,694,5,90350
684,684,512,1196,6,110000
2402,3094,0,2402,10,555000
1440,1440,0,1440,4,118000
1128,1078,445,1573,5,162900
1258,1258,0,1258,7,172500
933,915,975,1908,7,210000
1689,1436,0,1689,6,127500
1888,1517,0,1888,6,190000
956,930,930,1886,7,199900
780,780,596,1376,6,119500
679,649,504,1183,3,120000
813,813,0,813,6,110000
1533,1533,0,1533,7,280000
888,872,868,1756,6,204000
786,768,804,1590,8,210000
1728,1728,0,1728,5,188000
1242,1242,0,1242,7,175500
624,624,720,1344,5,98000
1663,1364,0,1663,4,256000
833,588,833,1666,8,161000
979,709,224,1203,5,110000
832,832,1103,1935,8,263435
575,560,560,1135,7,155000
864,864,0,864,5,62383
849,715,811,1660,6,188700
1040,1040,0,1040,5,124000
1414,1375,0,1414,7,178740
1277,1277,0,1277,7,167000
888,728,756,1644,5,146500
1634,1626,0,1634,8,250000
832,832,878,1710,6,187000
1502,1488,0,1502,8,212000
1161,808,808,1969,7,190000
1072,547,0,1072,6,148000
1976,1976,0,1976,8,440000
1652,1494,0,1652,8,251000
970,970,0,970,5,132500
1493,1478,0,1493,6,208900
2069,2153,574,2643,9,380000
1718,1705,0,1718,8,297000
1131,907,0,1131,4,89471
1850,1833,0,1850,9,326000
1792,1792,0,1792,9,374000
916,910,910,1826,7,155000
1216,1216,0,1216,6,164000
999,999,0,999,5,132500
1113,1113,0,1113,5,147000
1073,1073,0,1073,5,156000
1484,1484,0,1484,5,175000
1766,954,648,2414,5,160000
630,630,0,630,4,86000
616,264,688,1304,5,115000
958,806,620,1578,6,133000
728,728,728,1456,6,172785
1269,1269,0,1269,5,155000
886,190,0,886,5,91300
720,720,0,720,4,34900
3228,3200,0,3228,8,430000
1133,1026,687,1820,7,184000
899,864,0,899,5,130000
912,912,0,912,5,120000
672,672,546,1218,6,113000
866,866,902,1768,7,226700
1214,1214,0,1214,5,140000
1801,1501,0,1801,7,289000
855,855,467,1322,6,147000
960,960,1000,1960,5,124500
1065,777,846,1911,8,215000
1218,1218,0,1218,6,208300
689,689,689,1378,7,161000
1041,1041,0,1041,5,124500
1363,1008,0,1363,5,164900
1368,1368,0,1368,7,202665
864,864,0,864,5,129900
1080,1084,0,1080,6,134000
789,768,0,789,5,96500
2020,2006,0,2020,10,402861
1378,689,741,2119,6,158000
1277,1264,1067,2344,7,265000
882,794,914,1796,6,211000
1276,1276,804,2080,7,234000
694,0,600,1294,4,106250
1244,1244,0,1244,6,150000
1004,1004,660,1664,6,159000
3138,3138,1538,4676,10,184750
1383,1379,1015,2398,7,315750
1266,1257,0,1266,7,176000
928,928,0,928,5,132000
1476,1452,1237,2713,9,446261
605,528,0,605,4,86000
2515,2035,0,2515,6,200624
1509,1461,0,1509,6,175000
751,611,611,1362,6,128000
827,0,0,827,5,107500
334,0,0,334,1,39300
707,707,707,1414,8,178000
820,1117,527,1347,5,107500
880,880,844,1724,7,188000
864,864,0,864,4,111250
1159,1051,0,1159,5,158000
1601,1581,0,1601,8,272000
1838,1838,0,1838,9,315000
997,969,1288,2285,8,248000
1680,1650,0,1680,7,213250
767,723,0,767,7,133000
664,654,832,1496,7,179665
1377,1204,806,2183,7,229000
915,1065,720,1635,6,210000
768,768,0,768,5,129500
825,825,0,825,5,125000
912,912,1182,2094,7,263000
1069,1069,0,1069,6,140000
928,928,0,928,5,112500
1717,1709,0,1717,8,255500
1126,0,0,1126,4,108000
1006,998,1040,2046,7,284000
1048,993,0,1048,5,113000
1092,1092,0,1092,5,141000
897,637,439,1336,4,108000
729,729,717,1446,7,175000
1557,1374,0,1557,7,234000
1392,1392,0,1392,5,121500
1389,1389,0,1389,5,170000
996,996,0,996,5,108000
1163,1163,511,1674,6,185000
1166,1095,1129,2295,7,268000
841,806,806,1647,6,128000
1134,1122,1370,2504,9,325000
1535,1517,0,1535,7,214000
1496,1496,636,2132,8,316600
943,943,0,943,5,135960
1728,1728,0,1728,5,142600
864,864,0,864,6,120000
846,846,846,1692,7,224500
774,384,656,1430,7,170000
576,372,533,1109,5,139000
832,832,384,1216,5,118500
877,861,600,1477,7,145000
1320,1164,0,1320,5,164500
703,689,689,1392,7,146000
1050,1050,745,1795,5,131500
1429,1144,0,1429,6,181900
2042,2042,0,2042,8,253293
816,816,0,816,6,118500
1521,1237,1254,2775,10,325000
989,884,584,1573,4,133000
2028,1868,0,2028,8,369900
838,816,0,838,6,130000
860,840,0,860,5,137000
1473,1437,0,1473,5,143000
779,742,0,935,5,79500
770,770,812,1582,7,185900
1728,1722,568,2296,10,451950
816,816,0,816,5,138000
848,848,0,848,6,140000
924,924,0,924,5,110000
1826,1814,0,1826,8,319000
684,684,684,1368,6,114504
1402,1258,0,1402,7,194201
1647,1430,0,1647,5,217500
716,716,840,1556,6,151000
1058,1058,846,1904,8,275000
780,780,595,1375,6,141000
927,908,988,1915,8,220000
600,600,600,1200,7,151000
1494,1494,0,1494,7,221000
1186,768,800,1986,7,205000
1040,1040,0,1040,5,152000
1112,896,896,2008,5,225000
1940,965,1254,3194,8,359100
1029,1029,0,1029,4,118500
1476,1440,677,2153,9,313000
1032,1032,0,1032,6,148000
1299,1299,573,1872,8,261500
1120,1120,0,1120,5,147000
630,630,0,630,4,75500
1054,936,0,1054,6,137500
807,783,702,1509,6,183200
832,832,0,832,6,105500
1828,1822,0,1828,9,314813
1482,1482,780,2262,8,305000
864,864,0,864,3,67000
1548,1522,1066,2614,6,240000
980,980,0,980,5,135000
756,756,756,1512,6,168500
1012,732,778,1790,6,165150
1116,1116,0,1116,6,160000
1422,978,0,1422,5,139900
1520,1156,0,1520,6,153000
1040,1040,1040,2080,5,135000
1350,1248,0,1350,6,168500
1089,636,661,1750,5,124000
1554,1554,0,1554,8,209500
1411,1386,0,1411,7,82500
1056,1056,0,1056,5,139400
1056,1056,0,1056,6,144000
1440,1440,1440,3395,6,200000
800,264,0,800,2,60000
811,811,576,1387,5,93000
796,796,0,796,5,85000
1567,1520,0,1567,8,264561
1518,1518,0,1518,8,274000
1057,1057,872,1929,7,226000
2000,1952,704,2704,8,345000
780,780,840,1620,5,152000
1766,1766,0,1766,9,370878
981,981,0,981,6,143250
1048,0,0,1048,5,98300
1094,1094,0,1094,6,155000
1051,756,788,1839,6,155000
630,630,0,630,4,84500
822,813,843,1665,7,205950
755,755,755,1510,4,108000
909,880,807,1716,7,191000
756,756,713,1469,6,135000
2113,2109,0,2113,8,350000
525,525,567,1092,6,88000
1053,1053,0,1053,5,145500
851,776,651,1502,7,149000
912,912,546,1458,6,97500
1486,1486,0,1486,5,167000
1142,793,793,1935,7,197900
1686,1629,762,2448,8,402000
1392,1392,0,1392,6,110000
1181,1138,0,1181,4,137500
2097,2077,0,2097,8,423000
1454,1406,482,1936,8,230500
1465,1021,915,2380,6,129000
1679,1408,0,1679,6,193500
1437,1188,0,1437,5,168000
1180,700,0,1180,4,137500
738,738,738,1476,6,173500
697,672,672,1369,6,103600
1208,1208,0,1208,6,165000
1839,1477,0,1839,6,257500
1136,1136,0,1136,6,140000
855,855,586,1441,6,148500
1095,1095,679,1774,4,87000
792,768,0,792,5,109500
2046,2046,0,2046,8,372500
988,988,0,988,5,128500
923,923,0,923,6,143000
848,793,672,1520,5,159434
1291,1291,0,1291,6,173000
1668,1626,0,1668,9,285000
1195,1195,644,1839,7,221000
1190,1190,900,2090,7,207500
874,874,887,1761,7,227875
551,551,551,1102,7,148800
1419,1419,0,1419,8,392000
1362,1362,0,1362,6,194700
848,848,0,848,6,141000
2444,2444,1872,4316,10,755000
1238,1210,1281,2519,7,335000
1073,1073,0,1073,5,108480
1067,927,472,1539,5,141500
1137,1112,0,1137,6,176000
616,616,0,616,5,89000
1148,980,0,1148,5,123500
894,894,0,894,5,138500
1391,1391,0,1391,7,196000
1800,1800,0,1800,8,312500
1164,1164,0,1164,7,140000
1264,1234,1312,2576,8,361919
1032,360,780,1812,5,140000
1484,1473,0,1484,7,213000
372,0,720,1092,4,55000
1824,1643,0,1824,7,302000
1324,1324,0,1324,8,254000
728,728,728,1456,7,179540
904,876,0,904,5,109900
729,270,0,729,3,52000
859,859,319,1178,4,102776
1228,1228,0,1228,8,189000
960,960,0,960,4,129000
725,725,754,1479,6,130500
1350,1064,0,1350,6,165000
1576,718,978,2554,7,159500
1178,1176,0,1178,5,157000
1325,1311,1093,2418,7,341000
971,971,0,971,5,128500
1742,1742,0,1742,8,275000
848,848,0,848,6,143000
864,864,0,864,4,124500
997,941,473,1470,4,135000
1698,1698,0,1698,9,320000
864,864,0,864,4,120500
1680,880,0,1680,6,222000
1232,1232,0,1232,7,194500
1776,1584,0,1776,5,110000
848,780,0,1208,4,103000
1616,1595,0,1616,8,236500
1146,868,0,1146,7,187500
1153,1153,878,2031,7,222500
1144,864,0,1144,5,131400
948,948,0,948,5,108000
880,880,888,1768,7,163000
1040,0,0,1040,3,93500
901,893,900,1801,8,239900
1200,1200,0,1200,5,179000
864,864,864,1728,7,190000
768,264,664,1432,5,132000
912,912,0,912,6,142000
1349,1349,0,1349,7,179000
1464,520,0,1464,5,175000
1337,1337,0,1337,8,180000
1175,1142,1540,2715,8,299800
980,952,1276,2256,7,236000
1320,1240,1320,2640,7,265979
1720,1720,0,1720,7,260400
1088,0,441,1529,4,98000
792,576,348,1140,4,96500
660,660,660,1320,7,162000
1494,1479,0,1494,6,217000
1038,1030,1060,2098,8,275500
1026,1026,0,1026,6,156000
742,729,729,1471,6,172500
866,866,902,1768,8,212000
672,672,714,1386,6,158900
757,744,744,1501,7,179400
1328,1318,1203,2531,8,290000
864,864,0,864,6,127500
1301,1145,0,1301,5,100000
764,756,783,1547,7,215200
1268,1252,1097,2365,8,337000
1494,1494,0,1494,8,270000
1506,1498,0,1506,9,264132
980,980,734,1714,7,196500
983,983,767,1750,6,160000
1836,1860,0,1836,7,216837
1690,1650,1589,3279,8,538000
858,858,0,858,5,134900
1220,836,0,1220,4,102000
1117,1029,0,1117,6,107000
912,912,0,912,5,114500
1973,1935,0,1973,8,395000
1204,1204,0,1204,6,162000
1614,1614,0,1614,7,221500
894,864,0,894,5,142500
2020,0,0,2020,5,144000
1004,975,0,1004,6,135000
1253,1237,0,1253,7,176000
810,761,793,1603,6,175900
1430,1413,0,1430,7,187100
1110,1097,0,1110,5,165500
742,742,742,1484,6,128000
1342,1372,0,1342,6,161500
966,686,686,1652,5,139000
956,956,1128,2084,7,233000
901,901,0,901,4,107900
976,832,1111,2087,6,187500
1145,1145,0,1145,7,160200
1062,1029,0,1062,6,146800
1127,1117,886,2013,7,269790
1496,1496,0,1496,8,225000
1086,712,809,1895,7,194500
888,650,676,1564,6,171000
1285,660,0,1285,6,143500
773,773,0,773,5,110000
1966,1926,1174,3140,9,485000
981,731,787,1768,5,175000
616,616,1072,1688,6,200000
1196,1196,0,1196,4,109900
728,728,728,1456,7,189000
1734,1734,1088,2822,9,582933
1128,936,0,1128,5,118000
1428,1417,0,1428,7,227680
980,980,0,980,5,135500
1072,1324,504,1576,5,223500
1086,1024,0,1086,5,159950
1075,849,1063,2138,5,106000
1309,1040,0,1309,6,181000
848,848,0,848,6,144500
1044,540,0,1044,5,55993
1442,1442,0,1442,6,157900
686,686,564,1250,5,116000
1661,1649,0,1661,7,224900
1008,1008,0,1008,5,137000
1689,1568,0,1689,8,271000
1052,1010,0,1052,6,155000
1358,1358,0,1358,7,224000
798,798,842,1640,7,183000
936,936,0,936,4,93000
847,847,886,1733,7,225000
944,778,545,1489,6,139500
1489,1489,0,1489,8,232600
2084,2078,0,2084,10,385000
784,784,0,784,5,109500
1434,1454,0,1434,7,189000
1160,1013,966,2126,5,185000
520,600,623,1223,7,147400
1392,1392,0,1392,6,166000
520,600,600,1200,7,151000
941,941,888,1829,7,237000
1516,1516,0,1516,6,167000
1144,1144,0,1144,5,139950
1067,1067,0,1067,4,128000
1559,1559,0,1559,5,153500
483,483,504,987,6,100000
1099,1099,0,1099,5,144000
768,768,432,1200,5,130500
810,672,672,1482,6,140000
958,650,581,1539,5,157500
1165,1127,0,1165,6,174900
1800,1800,0,1800,5,141000
876,876,540,1416,5,153900
1701,1390,0,1701,5,171000
1006,740,769,1775,7,213000
864,864,0,864,5,133500
1307,907,1051,2358,6,240000
1094,528,761,1855,6,187000
848,848,0,848,6,131500
1456,1273,0,1456,8,215000
918,918,728,1646,7,164000
1445,1127,0,1445,6,158000
1779,1763,0,1779,5,170000
1040,1040,0,1040,5,127000
1026,940,0,1026,6,147000
702,702,779,1481,6,174000
1370,1090,0,1370,7,152000
1512,1054,1142,2654,6,250000
912,912,514,1426,7,189950
1039,1039,0,1039,5,131500
1097,1040,0,1097,6,152000
1148,1148,0,1148,5,132500
1372,1372,0,1372,7,250580
1002,1002,0,1002,5,148500
1646,1638,0,1646,8,248900
1120,1040,0,1120,4,129000
1547,0,720,2320,5,169000
1062,1050,887,1949,7,236000
894,894,0,894,5,109500
804,804,878,1682,6,200500
910,105,0,910,5,116000
1036,832,0,1268,5,133000
676,676,455,1131,5,66500
1184,1184,1426,2610,8,303477
1040,1064,0,1040,4,132250
1462,1462,762,2224,9,350000
1155,1109,0,1155,5,148000
864,864,0,864,5,136500
1090,1090,0,1090,5,157000
1187,1156,530,1717,7,187500
808,808,785,1593,6,178000
954,795,795,2230,4,118500
892,892,0,892,5,100000
1709,1698,0,1709,9,328900
1712,1626,0,1712,5,145000
872,816,521,1393,5,135500
2217,2217,0,2217,8,268000
1505,1505,0,1505,6,149500
672,672,252,924,5,122900
918,918,765,1683,6,172500
1068,1059,0,1068,6,154500
1383,1383,0,1383,5,165000
1535,0,0,1535,5,118858
983,780,813,1796,6,140000
951,951,0,951,4,106500
1120,0,1120,2240,5,142953
2364,2330,0,2364,9,611657
1236,912,0,1236,5,135000
858,858,0,858,4,110000
1306,992,0,1306,5,153000
807,783,702,1509,7,180000
1670,1670,0,1670,7,240000
902,876,0,902,5,125500
1063,1056,0,1063,5,128000
1636,1623,0,1636,8,255000
1020,1017,1037,2057,7,250000
902,864,0,902,5,131000
742,742,742,1484,6,174000
1105,1105,1169,2274,5,154300
1268,1268,0,1268,5,143500
1015,768,0,1015,5,88000
1001,1001,1001,2002,5,145000
612,612,612,1224,6,173733
546,546,546,1092,4,75000
480,480,0,480,2,35311
1229,1134,0,1229,4,135000
912,1104,1215,2127,7,238000
1414,1184,0,1414,6,176500
936,928,785,1721,6,201000
1272,1272,928,2200,5,145900
1316,1316,0,1316,6,169990
1617,1604,0,1617,6,193000
