BsmtFinSF1,GarageCars,1stFlrSF,TotalBsmtSF,2ndFlrSF,GrLivArea,OverallQual,Saleprice
695,2,1222,948,888,2110,7,205000
929,2,1872,1845,0,1872,7,241500
0,1,908,1020,1020,1928,6,137000
0,2,1375,1367,0,1375,6,140000
0,2,840,840,828,1668,7,180000
697,2,1444,1444,700,2144,6,277000
0,0,1306,728,0,1306,3,76500
1573,2,1625,1573,0,1625,8,235000
0,2,798,798,842,1640,6,173000
270,1,1302,1302,0,1302,6,158000
922,1,1314,1314,0,1314,5,145000
0,2,1005,975,1286,2291,7,230000
503,2,864,864,864,1728,6,207500
1334,2,1604,1604,0,1604,7,220000
361,2,963,963,829,1792,7,231500
0,1,882,0,0,882,5,97000
672,2,1382,1362,0,1382,6,176000
0,3,1482,1482,1092,2574,8,276000
506,2,1212,506,0,1212,6,151000
234,2,926,926,0,1316,5,130000
0,2,764,680,0,764,5,73000
588,2,1422,1422,0,1422,6,175500
714,2,802,802,709,1511,6,185000
378,1,1052,720,720,2192,5,179500
403,1,778,740,0,778,5,120500
751,1,1113,1143,0,1113,6,148000
0,3,1095,1095,844,1939,8,266000
226,2,1363,1385,0,1363,7,241500
524,3,1164,1152,1106,2270,8,290000
620,1,1632,1240,0,1632,6,139000
546,1,816,816,0,816,5,124500
0,2,952,952,596,1548,7,205000
0,2,1560,1560,0,1560,7,201000
120,2,864,864,0,864,4,141000
0,3,2121,2121,0,2121,9,415298
392,2,1156,1160,866,2022,7,192000
421,2,1175,807,807,1982,7,228500
905,2,1262,1262,0,1262,6,185000
904,2,1314,1314,0,1314,7,207500
0,3,1468,1468,0,1468,8,244600
430,2,1575,1575,0,1575,6,179200
0,2,625,625,625,1250,7,164700
600,2,1085,912,649,1734,6,159000
614,0,858,858,0,858,4,88000
450,1,900,882,0,900,5,122000
0,1,698,698,698,1396,6,153575
0,2,1079,1079,840,1919,8,233230
210,0,936,780,780,1716,5,135900
292,1,1148,768,568,1716,5,131000
795,2,1468,795,795,2263,7,235000
1285,2,1644,1416,0,1644,6,167000
819,2,1003,1003,0,1003,6,142500
420,1,910,910,648,1558,5,152000
649,2,975,975,975,1950,7,239000
384,2,1041,702,702,1743,6,175000
0,1,1152,1092,0,1152,6,158500
841,1,1336,1165,0,1336,5,157000
281,2,1210,1028,1242,2452,8,267000
0,3,1541,1541,0,1541,7,205000
894,2,894,894,0,894,5,149900
0,3,1675,1470,1818,3493,7,295000
1464,3,2000,2000,0,2000,8,305900
700,3,1122,700,1121,2243,7,225000
0,0,1035,319,371,1406,6,89500
262,2,861,861,0,861,4,82500
1274,3,1944,1896,0,1944,9,360000
518,2,697,697,804,1501,6,165600
680,1,972,972,0,972,6,132000
507,2,793,793,325,1118,5,119900
1236,2,2036,2136,0,2036,7,375000
16,2,832,728,809,1641,7,178000
425,2,716,716,716,1432,7,188500
692,2,1153,845,1200,2353,7,260000
0,3,1088,1088,871,1959,8,270000
987,3,1372,1347,1274,2646,7,260000
1036,2,1472,1372,0,1472,7,187500
0,3,1249,1249,1347,2596,9,342643
970,3,1136,1136,1332,2468,8,354000
28,2,1553,1502,1177,2730,7,301000
256,1,1163,1162,0,1163,3,126175
0,2,1898,710,1080,2978,7,242000
116,2,803,720,0,803,5,87000
1619,2,1719,1719,0,1719,8,324000
565,1,1383,1383,0,1383,6,145250
0,2,1445,844,689,2134,6,214500
0,1,596,596,596,1192,5,78000
40,1,1728,1728,0,1728,5,119000
846,1,1056,1056,0,1056,5,139000
1124,3,1629,3206,0,1629,8,284000
720,2,1358,1358,0,1358,7,207000
828,2,943,943,695,1638,6,192000
1249,2,1619,1499,167,1786,5,228950
1249,3,1922,1922,0,1922,9,377426
810,2,1536,1536,0,1536,7,214000
213,2,1621,1208,0,1621,7,202500
585,1,1215,1215,0,1215,6,155000
0,2,993,967,915,1908,8,202900
0,1,841,721,0,841,4,82000
0,2,1040,0,0,1040,3,87500
28,2,1684,1684,0,1684,9,266000
129,1,536,536,576,1112,5,85000
0,1,972,972,605,1577,6,140200
498,1,958,958,0,958,6,151500
1270,2,1478,1478,0,1478,6,157500
573,2,764,764,862,1626,7,154000
1410,3,1848,1848,880,2728,9,437154
0,2,1869,1869,0,1869,9,318061
1082,2,1453,1453,0,1453,7,190000
236,1,616,616,495,1111,5,95000
0,2,720,624,0,720,6,105900
388,1,1192,940,403,1595,6,140000
334,2,1200,1200,0,1200,6,177500
560,2,1167,1158,0,1167,6,173000
874,2,1142,1142,0,1142,5,134000
300,1,1352,1062,0,1352,5,130000
956,2,1086,1086,838,1924,8,280000
773,2,912,888,0,912,6,156000
399,1,988,883,517,1505,5,145000
0,2,495,0,1427,1922,7,198500
162,1,483,483,504,987,6,118000
712,2,790,796,784,1574,6,190000
456,1,672,672,672,1344,5,147000
609,2,1394,1394,0,1394,6,159000
371,1,1431,1099,0,1431,6,165000
540,1,1268,1268,0,1268,5,132000
72,2,1287,1063,0,1287,5,162000
0,2,953,953,711,1664,6,172400
0,2,1120,0,468,1588,4,134432
623,1,752,744,0,752,6,125000
428,1,1319,608,0,1319,5,123000
0,2,847,847,1081,1928,7,219500
350,0,904,683,0,904,1,61000
298,2,914,870,0,914,5,148000
0,2,1580,1580,886,2466,8,340000
1445,3,1856,1856,0,1856,9,394432
0,2,1007,982,793,1800,6,179000
218,1,1026,1026,665,1691,5,127000
0,2,1301,1293,0,1301,7,187750
0,2,939,939,858,1797,7,213500
0,2,784,784,0,784,6,76000
985,2,1079,1580,874,1953,6,240000
24,2,1269,1256,0,1269,8,192000
0,0,658,658,526,1184,5,81000
631,1,1125,1041,0,1125,6,125000
0,2,1479,1468,0,1479,7,191000
1280,3,1742,1682,590,2332,10,426000
241,1,961,861,406,1367,5,119000
690,2,804,804,1157,1961,6,215000
0,1,882,0,0,882,5,106500
266,0,788,788,0,788,4,100000
0,1,735,735,299,1034,5,109000
739,1,1144,1144,0,1144,5,129000
777,2,894,894,0,894,5,123000
540,1,876,864,936,1812,5,169500
0,1,1077,961,0,1077,5,67000
812,2,1112,1092,438,1550,7,241000
786,2,1288,1260,0,1288,8,245500
24,2,1310,1310,0,1310,7,164990
0,1,672,672,0,672,5,108000
0,2,1165,1141,1098,2263,8,258000
0,2,806,806,766,1572,6,168000
1116,2,1620,1281,0,1620,4,150000
0,1,1166,1064,0,1639,6,115000
0,1,840,840,840,1680,6,177000
0,3,1071,1063,1101,2172,7,280000
789,3,1050,1034,1028,2078,8,339750
0,1,1276,1276,0,1276,5,60000
1056,2,1056,1056,0,1056,5,145000
578,2,1478,1470,0,1478,7,222000
0,2,1028,1008,0,1028,5,115000
50,3,1080,1080,1017,2097,7,228000
24,2,1340,1340,0,1340,7,181134
209,2,672,672,728,1400,6,149500
1128,3,1370,1370,1254,2624,6,239000
312,1,756,756,378,1134,5,126000
775,1,1056,1056,0,1056,5,142000
1309,4,1344,1344,0,1344,7,206300
1246,2,1602,1602,0,1602,6,215000
0,2,988,988,0,988,5,113000
986,3,1470,1470,1160,2630,8,315000
616,1,1196,1196,0,1196,6,139000
0,1,707,651,682,1389,7,135000
1518,2,1644,1518,0,1644,7,275000
288,1,907,907,0,907,4,109008
664,2,1208,1208,0,1208,7,195400
1005,2,1412,1392,0,1412,6,175000
387,1,483,483,504,987,6,85400
0,0,1088,901,110,1198,6,79900
471,2,765,765,600,1365,5,122500
0,2,926,926,678,1604,6,181000
495,0,630,630,0,630,4,81000
385,2,827,799,834,1661,7,212000
0,2,734,648,384,1118,6,116000
0,1,904,884,0,904,6,119000
365,1,694,440,0,694,5,90350
0,2,684,684,512,1196,6,110000
1767,3,2402,3094,0,2402,10,555000
133,0,1440,1440,0,1440,4,118000
0,2,1128,1078,445,1573,5,162900
0,3,1258,1258,0,1258,7,172500
642,2,933,915,975,1908,7,210000
0,2,1689,1436,0,1689,6,127500
247,2,1888,1517,0,1888,6,190000
0,2,956,930,930,1886,7,199900
0,1,780,780,596,1376,6,119500
331,1,679,649,504,1183,3,120000
0,1,813,813,0,813,6,110000
655,2,1533,1533,0,1533,7,280000
742,2,888,872,868,1756,6,204000
0,2,786,768,804,1590,8,210000
1606,2,1728,1728,0,1728,5,188000
916,2,1242,1242,0,1242,7,175500
0,3,624,624,720,1344,5,98000
1116,2,1663,1364,0,1663,4,256000
0,1,833,588,833,1666,8,161000
185,1,979,709,224,1203,5,110000
544,2,832,832,1103,1935,8,263435
350,2,575,560,560,1135,7,155000
553,1,864,864,0,864,5,62383
326,1,849,715,811,1660,6,188700
616,0,1040,1040,0,1040,5,124000
0,2,1414,1375,0,1414,7,178740
778,2,1277,1277,0,1277,7,167000
386,1,888,728,756,1644,5,146500
0,3,1634,1626,0,1634,8,250000
426,2,832,832,878,1710,6,187000
368,2,1502,1488,0,1502,8,212000
0,2,1161,808,808,1969,7,190000
459,2,1072,547,0,1072,6,148000
1350,3,1976,1976,0,1976,8,440000
1196,2,1652,1494,0,1652,8,251000
630,2,970,970,0,970,5,132500
994,2,1493,1478,0,1493,6,208900
0,3,2069,2153,574,2643,9,380000
1288,3,1718,1705,0,1718,8,297000
168,2,1131,907,0,1131,4,89471
1261,3,1850,1833,0,1850,9,326000
1567,3,1792,1792,0,1792,9,374000
299,1,916,910,910,1826,7,155000
897,2,1216,1216,0,1216,6,164000
588,1,999,999,0,999,5,132500
607,1,1113,1113,0,1113,5,147000
836,2,1073,1073,0,1073,5,156000
998,2,1484,1484,0,1484,5,175000
664,2,1766,954,648,2414,5,160000
515,1,630,630,0,630,4,86000
0,1,616,264,688,1304,5,115000
403,1,958,806,620,1578,6,133000
0,2,728,728,728,1456,6,172785
374,1,1269,1269,0,1269,5,155000
0,1,886,190,0,886,5,91300
495,0,720,720,0,720,4,34900
1231,2,3228,3200,0,3228,8,430000
329,1,1133,1026,687,1820,7,184000
450,1,899,864,0,899,5,130000
111,1,912,912,0,912,5,120000
356,1,672,672,546,1218,6,113000
400,2,866,866,902,1768,7,226700
698,2,1214,1214,0,1214,5,140000
1247,2,1801,1501,0,1801,7,289000
257,2,855,855,467,1322,6,147000
0,2,960,960,1000,1960,5,124500
380,2,1065,777,846,1911,8,215000
27,2,1218,1218,0,1218,6,208300
141,2,689,689,689,1378,7,161000
991,1,1041,1041,0,1041,5,124500
650,1,1363,1008,0,1363,5,164900
0,2,1368,1368,0,1368,7,202665
521,2,864,864,0,864,5,129900
336,2,1080,1084,0,1080,6,134000
0,1,789,768,0,789,5,96500
1436,3,2020,2006,0,2020,10,402861
0,2,1378,689,741,2119,6,158000
0,3,1277,1264,1067,2344,7,265000
706,2,882,794,914,1796,6,211000
0,1,1276,1276,804,2080,7,234000
0,0,694,0,600,1294,4,106250
777,1,1244,1244,0,1244,6,150000
399,2,1004,1004,660,1664,6,159000
2260,3,3138,3138,1538,4676,10,184750
719,3,1383,1379,1015,2398,7,315750
0,2,1266,1257,0,1266,7,176000
377,1,928,928,0,928,5,132000
1330,3,1476,1452,1237,2713,9,446261
348,0,605,528,0,605,4,86000
1219,2,2515,2035,0,2515,6,200624
783,2,1509,1461,0,1509,6,175000
0,2,751,611,611,1362,6,128000
0,1,827,0,0,827,5,107500
0,0,334,0,0,334,1,39300
0,2,707,707,707,1414,8,178000
969,0,820,1117,527,1347,5,107500
0,2,880,880,844,1724,7,188000
600,2,864,864,0,864,4,111250
673,1,1159,1051,0,1159,5,158000
1358,2,1601,1581,0,1601,8,272000
1260,3,1838,1838,0,1838,9,315000
0,3,997,969,1288,2285,8,248000
144,2,1680,1650,0,1680,7,213250
584,1,767,723,0,767,7,133000
554,2,664,654,832,1496,7,179665
1002,3,1377,1204,806,2183,7,229000
300,2,915,1065,720,1635,6,210000
619,2,768,768,0,768,5,129500
180,2,825,825,0,825,5,125000
0,2,912,912,1182,2094,7,263000
559,2,1069,1069,0,1069,6,140000
308,1,928,928,0,928,5,112500
0,3,1717,1709,0,1717,8,255500
0,2,1126,0,0,1126,4,108000
866,3,1006,998,1040,2046,7,284000
0,1,1048,993,0,1048,5,113000
895,1,1092,1092,0,1092,5,141000
637,1,897,637,439,1336,4,108000
604,2,729,729,717,1446,7,175000
0,2,1557,1374,0,1557,7,234000
1302,2,1392,1392,0,1392,5,121500
1071,2,1389,1389,0,1389,5,170000
290,0,996,996,0,996,5,108000
0,2,1163,1163,511,1674,6,185000
728,2,1166,1095,1129,2295,7,268000
0,1,841,806,806,1647,6,128000
0,3,1134,1122,1370,2504,9,325000
2,2,1535,1517,0,1535,7,214000
1441,2,1496,1496,636,2132,8,316600
943,2,943,943,0,943,5,135960
231,2,1728,1728,0,1728,5,142600
414,1,864,864,0,864,6,120000
0,2,846,846,846,1692,7,224500
0,2,774,384,656,1430,7,170000
349,1,576,372,533,1109,5,139000
442,1,832,832,384,1216,5,118500
0,1,877,861,600,1477,7,145000
328,2,1320,1164,0,1320,5,164500
0,2,703,689,689,1392,7,146000
0,1,1050,1050,745,1795,5,131500
594,2,1429,1144,0,1429,6,181900
0,3,2042,2042,0,2042,8,253293
816,0,816,816,0,816,6,118500
0,2,1521,1237,1254,2775,10,325000
0,1,989,884,584,1573,4,133000
1460,3,2028,1868,0,2028,8,369900
210,1,838,816,0,838,6,130000
672,2,860,840,0,860,5,137000
1324,1,1473,1437,0,1473,5,143000
0,1,779,742,0,935,5,79500
490,2,770,770,812,1582,7,185900
1338,3,1728,1722,568,2296,10,451950
816,2,816,816,0,816,5,138000
685,2,848,848,0,848,6,140000
0,1,924,924,0,924,5,110000
1422,3,1826,1814,0,1826,8,319000
0,1,684,684,684,1368,6,114504
0,3,1402,1258,0,1402,7,194201
1283,2,1647,1430,0,1647,5,217500
81,2,716,716,840,1556,6,151000
546,2,1058,1058,846,1904,8,275000
0,1,780,780,595,1375,6,141000
789,2,927,908,988,1915,8,220000
0,2,600,600,600,1200,7,151000
922,2,1494,1494,0,1494,7,221000
454,2,1186,768,800,1986,7,205000
732,2,1040,1040,0,1040,5,152000
603,1,1112,896,896,2008,5,225000
428,2,1940,965,1254,3194,8,359100
903,1,1029,1029,0,1029,4,118500
904,3,1476,1440,677,2153,9,313000
605,2,1032,1032,0,1032,6,148000
990,2,1299,1299,573,1872,8,261500
206,0,1120,1120,0,1120,5,147000
150,0,630,630,0,630,4,75500
763,2,1054,936,0,1054,6,137500
457,2,807,783,702,1509,6,183200
0,2,832,832,0,832,6,105500
48,3,1828,1822,0,1828,9,314813
871,3,1482,1482,780,2262,8,305000
41,0,864,864,0,864,3,67000
956,2,1548,1522,1066,2614,6,240000
560,2,980,980,0,980,5,135000
420,2,756,756,756,1512,6,168500
247,2,1012,732,778,1790,6,165150
0,2,1116,1116,0,1116,6,160000
0,1,1422,978,0,1422,5,139900
674,1,1520,1156,0,1520,6,153000
650,2,1040,1040,1040,2080,5,135000
624,2,1350,1248,0,1350,6,168500
0,1,1089,636,661,1750,5,124000
24,2,1554,1554,0,1554,8,209500
822,2,1411,1386,0,1411,7,82500
480,1,1056,1056,0,1056,5,139400
1056,2,1056,1056,0,1056,6,144000
256,0,1440,1440,1440,3395,6,200000
0,0,800,264,0,800,2,60000
0,1,811,811,576,1387,5,93000
0,0,796,796,0,796,5,85000
1154,3,1567,1520,0,1567,8,264561
1218,2,1518,1518,0,1518,8,274000
738,2,1057,1057,872,1929,7,226000
1410,2,2000,1952,704,2704,8,345000
493,2,780,780,840,1620,5,152000
1121,3,1766,1766,0,1766,9,370878
282,2,981,981,0,981,6,143250
0,2,1048,0,0,1048,5,98300
500,2,1094,1094,0,1094,6,155000
0,2,1051,756,788,1839,6,155000
131,0,630,630,0,630,4,84500
0,2,822,813,843,1665,7,205950
0,1,755,755,755,1510,4,108000
0,2,909,880,807,1716,7,191000
0,1,756,756,713,1469,6,135000
1696,3,2113,2109,0,2113,8,350000
0,1,525,525,567,1092,6,88000
806,1,1053,1053,0,1053,5,145500
0,1,851,776,651,1502,7,149000
0,1,912,912,546,1458,6,97500
637,2,1486,1486,0,1486,5,167000
0,2,1142,793,793,1935,7,197900
1361,3,1686,1629,762,2448,8,402000
0,2,1392,1392,0,1392,6,110000
920,2,1181,1138,0,1181,4,137500
1721,3,2097,2077,0,2097,8,423000
0,2,1454,1406,482,1936,8,230500
187,2,1465,1021,915,2380,6,129000
1138,2,1679,1408,0,1679,6,193500
988,2,1437,1188,0,1437,5,168000
0,1,1180,700,0,1180,4,137500
193,2,738,738,738,1476,6,173500
551,1,697,672,672,1369,6,103600
767,2,1208,1208,0,1208,6,165000
1186,2,1839,1477,0,1839,6,257500
892,1,1136,1136,0,1136,6,140000
311,2,855,855,586,1441,6,148500
0,3,1095,1095,679,1774,4,87000
0,1,792,768,0,792,5,109500
0,3,2046,2046,0,2046,8,372500
827,2,988,988,0,988,5,128500
543,1,923,923,0,923,6,143000
182,1,848,793,672,1520,5,159434
1003,2,1291,1291,0,1291,6,173000
1059,3,1668,1626,0,1668,9,285000
0,2,1195,1195,644,1839,7,221000
828,2,1190,1190,900,2090,7,207500
0,2,874,874,887,1761,7,227875
239,2,551,551,551,1102,7,148800
945,2,1419,1419,0,1419,8,392000
20,2,1362,1362,0,1362,6,194700
697,2,848,848,0,848,6,141000
1455,3,2444,2444,1872,4316,10,755000
965,2,1238,1210,1281,2519,7,335000
0,1,1073,1073,0,1073,5,108480
0,2,1067,927,472,1539,5,141500
980,2,1137,1112,0,1137,6,176000
616,1,616,616,0,616,5,89000
210,1,1148,980,0,1148,5,123500
553,1,894,894,0,894,5,138500
16,2,1391,1391,0,1391,7,196000
1274,3,1800,1800,0,1800,8,312500
0,2,1164,1164,0,1164,7,140000
0,3,1264,1234,1312,2576,8,361919
0,2,1032,360,780,1812,5,140000
712,2,1484,1473,0,1484,7,213000
0,0,372,0,720,1092,4,55000
1219,2,1824,1643,0,1824,7,302000
863,2,1324,1324,0,1324,8,254000
0,2,728,728,728,1456,7,179540
0,1,904,876,0,904,5,109900
0,0,729,270,0,729,3,52000
0,1,859,859,319,1178,4,102776
767,2,1228,1228,0,1228,8,189000
789,2,960,960,0,960,4,129000
533,2,725,725,754,1479,6,130500
0,2,1350,1064,0,1350,6,165000
0,2,1576,718,978,2554,7,159500
1084,2,1178,1176,0,1178,5,157000
1173,3,1325,1311,1093,2418,7,341000
523,1,971,971,0,971,5,128500
1148,2,1742,1742,0,1742,8,275000
662,2,848,848,0,848,6,143000
191,2,864,864,0,864,4,124500
0,1,997,941,473,1470,4,135000
