LotArea,MSZoning,TotRmsAbvGrd,YearBuilt,LandContour,BsmtFinSF1,GarageCars,1stFlrSF,TotalBsmtSF,2ndFlrSF,GrLivArea,OverallQual,Saleprice
12822,RL,6,2003,Lvl,1351,2,1518,1434,631,2149,7,239686
11096,FV,7,2006,Lvl,24,3,1656,1656,0,1656,8,249700
4456,RM,8,1920,Lvl,0,0,736,736,716,1452,4,113000
7742,RL,6,1966,Lvl,763,1,955,955,0,955,5,127000
13869,RL,6,1997,Lvl,182,2,794,794,676,1470,6,177000
6240,RM,6,1934,Lvl,0,2,816,816,0,1176,6,114500
8472,RM,5,1963,Bnk,104,2,816,816,0,816,5,110000
50271,RL,5,1981,Low,1810,3,1842,1842,0,1842,9,385000
7134,RL,6,1955,Bnk,384,2,1360,384,0,1360,5,130000
10175,RL,7,1964,Lvl,490,2,1425,1425,0,1425,6,180500
2645,FV,7,1999,Lvl,649,2,983,970,756,1739,8,172500
11645,RL,7,2004,Lvl,0,2,860,860,860,1720,7,196500
13682,RL,10,2006,HLS,0,3,1426,1410,1519,2945,10,438780
7200,RL,4,1972,Bnk,632,1,780,780,0,780,5,124900
13072,RL,5,2004,Lvl,941,2,1158,1158,0,1158,6,158000
7200,RM,6,1920,Lvl,0,1,581,530,530,1111,5,101000
6442,RL,6,2006,Lvl,24,2,1370,1370,0,1370,8,202500
10300,RM,9,1921,Bnk,0,2,902,576,808,1710,7,140000
9375,RL,8,1997,Lvl,739,2,1057,1057,977,2034,7,219500
9591,RL,9,2004,Lvl,0,3,1143,1143,1330,2473,8,317000
19900,RL,7,1970,Lvl,912,2,2207,1947,0,2207,7,180000
10665,RL,7,2003,Lvl,1013,2,1479,1453,0,1479,7,226000
4608,RM,4,1945,Lvl,0,1,747,747,0,747,4,80000
15593,RL,7,1953,Lvl,603,2,1304,1304,983,2287,7,225000
13651,RL,8,1973,Lvl,1880,2,2223,2223,0,2223,7,244000
7599,RL,4,1982,Lvl,565,2,845,845,0,845,4,129500
10141,RL,7,1998,Lvl,0,2,885,832,833,1718,7,185000
10200,RL,6,1954,Lvl,320,2,1086,1086,0,1086,5,144900
5790,RM,8,1915,Lvl,0,1,840,840,765,1605,3,107400
1596,RM,5,1973,Lvl,462,1,526,462,462,988,4,91000
8475,RL,4,1956,Lvl,228,1,952,952,0,952,4,135750
8635,RM,6,1948,Lvl,336,1,1072,672,213,1285,5,127000
10778,RL,8,1968,Lvl,0,0,1768,1768,0,1768,4,136500
10440,RM,5,1910,Lvl,0,2,682,440,548,1230,5,110000
13000,RL,8,1968,Lvl,448,1,1182,896,960,2142,6,193500
4500,RM,5,1998,Lvl,1201,2,1337,1237,0,1337,6,153500
10206,RL,6,2007,Lvl,33,3,1563,1563,0,1563,8,245000
8892,RL,6,1960,Lvl,0,2,1065,1065,0,1065,5,126500
8530,RL,7,1995,Lvl,0,2,804,384,670,1474,7,168500
16059,RL,9,1991,Lvl,0,2,1301,1288,1116,2417,8,260000
11911,RL,6,2005,Lvl,0,2,684,684,876,1560,6,174000
3951,FV,4,2009,Lvl,0,2,612,612,612,1224,6,164500
8470,C (all),6,1915,Lvl,0,0,1013,1013,0,1526,3,85000
8070,RL,5,1994,Lvl,588,0,990,990,0,990,4,123600
7200,RL,4,1950,Lvl,0,2,1040,0,0,1040,4,109900
8500,RL,6,1961,Lvl,600,2,1235,1235,0,1235,5,98600
13360,RL,5,1921,HLS,713,2,964,876,0,964,5,163500
7200,C (all),9,1910,Lvl,1046,2,1260,1214,1031,2291,6,133900
9337,RL,7,1997,Lvl,648,2,905,824,881,1786,6,204750
9765,RL,6,1993,Lvl,310,2,680,680,790,1470,6,185000
10264,RL,6,1999,Lvl,1162,2,1588,1588,0,1588,7,214000
10921,RL,6,1965,HLS,520,1,960,960,0,960,4,94750
10625,RL,5,1920,Lvl,108,1,835,458,0,835,5,83000
9320,RL,6,1959,Lvl,569,0,1225,950,0,1225,4,128950
10603,RL,6,1977,Lvl,1200,2,1610,1610,0,1610,6,205000
9206,RL,7,1985,Lvl,0,2,977,741,755,1732,6,178000
7018,RL,8,1979,Bnk,0,2,1535,0,0,1535,5,118964
10402,RL,6,2009,Lvl,0,3,1226,1226,0,1226,7,198900
7758,RM,7,1931,Lvl,224,1,1226,1040,592,1818,7,169500
9375,FV,9,2003,Lvl,0,2,1053,1053,939,1992,8,250000
10800,RM,6,1885,Lvl,0,1,1047,641,0,1047,4,100000
6000,RM,5,1948,Lvl,104,1,789,789,0,789,5,115000
8500,RM,7,1919,Lvl,0,0,997,793,520,1517,5,115000
11751,RL,7,1977,Lvl,705,2,1844,1844,0,1844,6,190000
9525,RL,7,1954,Lvl,444,1,1216,994,639,1855,6,136900
7750,RL,7,2000,Lvl,250,2,774,384,656,1430,7,180000
9965,RL,10,2007,Lvl,984,3,1282,1264,1414,2696,7,383970
21000,RL,7,1953,Bnk,35,2,2259,1809,0,2259,6,217000
7259,RL,9,1945,Lvl,774,1,1436,1028,884,2320,6,259500
3230,FV,5,1999,Lvl,419,2,729,729,729,1458,6,176000
11616,RL,6,1962,Lvl,170,1,1092,1092,0,1092,5,139000
8536,RL,5,2006,Lvl,0,2,1125,1125,0,1125,5,155000
12376,RL,11,1990,Lvl,1470,3,1699,1673,1523,3222,7,320000
8461,RL,8,2005,Lvl,0,2,728,728,728,1456,6,163990
21453,RL,4,1969,Low,938,2,988,938,0,988,6,180000
6060,RM,4,1939,Lvl,0,1,772,732,351,1123,4,100000
9464,RL,5,1958,Lvl,570,1,1080,1080,0,1080,6,136000
7892,RL,5,1993,Lvl,300,2,1199,1199,0,1199,6,153900
17043,RL,7,1979,Lvl,0,2,1586,1362,0,1586,6,181000
6780,RM,5,1935,Lvl,490,0,520,520,0,754,6,84500
4928,RL,5,1976,Lvl,120,2,958,1078,0,958,6,128000
4388,RM,5,1930,Bnk,116,0,840,672,0,840,5,87000
7590,RL,6,1966,Lvl,512,2,660,660,688,1348,6,155000
8973,RL,6,1958,Lvl,567,2,1053,1008,0,1053,5,150000
14200,RL,8,1966,Lvl,445,2,1216,924,941,2157,7,226000
12224,RL,7,2000,Lvl,695,2,1022,992,1032,2054,6,244000
7388,RL,7,1959,Lvl,405,2,1327,1063,0,1327,5,150750
6853,RL,6,2001,Lvl,1005,2,1296,1267,0,1296,8,220000
10335,RL,7,1968,Lvl,570,2,1721,1461,0,1721,5,180000
10400,RL,7,1970,Lvl,0,2,1682,1304,0,1682,7,174000
10355,RL,5,1967,Lvl,695,1,1214,1214,0,1214,5,143000
11070,RL,9,1988,Lvl,0,3,1959,1907,0,1959,7,171000
9066,RL,7,1999,Lvl,668,3,1004,1004,848,1852,8,230000
15426,RL,7,1997,Lvl,821,2,928,928,836,1764,6,231500
10500,RL,5,1971,Lvl,432,0,864,864,0,864,4,115000
11645,RL,7,2005,Lvl,1300,2,1734,1734,0,1734,7,260000
8520,RL,6,1952,Lvl,507,2,910,910,475,1385,5,166000
10335,RL,6,1999,Lvl,679,2,1501,1490,0,1501,7,204000
9100,RM,10,1963,Lvl,1332,2,1728,1728,0,1728,5,125000
2522,RM,7,2004,Lvl,0,2,970,970,739,1709,6,130000
6120,RM,5,1931,Lvl,209,1,875,715,0,875,5,105000
9505,RL,8,2001,Lvl,0,2,884,884,1151,2035,7,222500
7500,RL,6,2004,Lvl,680,0,1080,1080,0,1080,7,141000
6240,RM,7,1936,Lvl,0,1,896,896,448,1344,5,115000
10356,RL,5,1975,Lvl,716,2,969,969,0,969,5,122000
13891,RL,6,2007,Lvl,1400,3,1710,1710,0,1710,8,372402
14803,RL,8,1971,Lvl,416,2,1097,825,896,1993,6,190000
13500,RL,4,1960,Lvl,429,2,1252,1602,0,1252,6,235000
11340,RM,7,1923,Lvl,0,1,1200,1200,0,1200,6,125000
9600,RL,5,1924,Lvl,0,0,572,572,524,1096,6,79000
7200,RL,5,1950,Lvl,0,2,1040,0,0,1040,5,109500
12003,RL,8,2009,Lvl,0,3,774,774,1194,1968,8,269500
12552,FV,8,2004,Lvl,222,2,991,991,956,1947,7,254900
19378,RL,9,2005,HLS,57,2,1392,1392,1070,2462,7,320000
11120,RL,6,1984,Lvl,660,2,1232,1232,0,1232,6,162500
13688,RL,10,2003,Lvl,1016,3,1572,1572,1096,2668,9,412500
12182,RL,7,2005,Lvl,1201,2,1541,1541,0,1541,7,220000
5500,RL,4,1956,Lvl,0,0,882,882,0,882,4,103200
5400,RM,5,1926,Lvl,370,1,1149,1149,467,1616,6,152000
10106,RL,6,1940,Lvl,351,0,808,644,547,1355,5,127500
10708,RL,7,1955,Lvl,379,1,1867,1617,0,1867,5,190000
10562,RL,8,2007,Lvl,1288,3,1610,1582,551,2161,8,325624
8244,RL,7,2004,Lvl,0,2,840,840,880,1720,7,183500
16669,RL,6,1981,Lvl,0,2,1707,1686,0,1707,8,228000
12358,RM,7,1941,Lvl,360,2,854,720,0,1382,5,128500
31770,RL,7,1960,Lvl,639,2,1656,1080,0,1656,6,215000
5306,RL,5,1987,Lvl,495,2,1064,1064,703,1767,7,239000
10197,RL,6,1961,Lvl,288,2,1362,1362,0,1362,6,163000
12416,RL,7,1986,Lvl,1398,2,1651,1606,0,1651,6,184000
12615,RL,7,1950,Lvl,477,2,2158,1202,0,2158,6,243000
10029,RL,8,1988,Lvl,831,2,1164,1151,896,2060,6,211000
13650,RL,8,1958,Lvl,57,2,1252,1052,668,1920,5,172500
17423,RL,9,2008,Lvl,1904,3,2234,2216,0,2234,9,501837
8520,RM,5,1923,Lvl,0,2,968,968,0,968,5,100000
2117,FV,5,2000,Lvl,436,2,769,756,756,1525,6,177000
7588,RL,9,1920,Lvl,352,1,901,793,901,1802,7,200100
9060,RL,7,1957,Lvl,0,1,1340,0,0,1340,5,120000
11426,RM,6,2003,Lvl,0,2,1362,1362,720,2082,7,200000
7438,RL,5,1908,Lvl,0,2,936,504,316,1252,5,127000
22950,RM,12,1892,Lvl,0,3,1518,1107,1518,3608,10,475000
9947,RL,6,1990,Lvl,611,2,1217,1188,0,1217,7,173000
10410,RL,8,1916,Lvl,0,1,808,660,704,1656,5,135000
7018,RL,6,1979,Bnk,1086,2,1224,1086,0,1224,5,153337
4923,RL,5,2001,Lvl,1153,2,1593,1593,0,1593,8,286000
10570,RL,10,1932,Bnk,297,2,1549,853,1178,2727,8,315000
7472,RL,7,1972,Lvl,626,2,725,725,754,1479,7,184000
9017,RL,6,1999,Lvl,560,2,1431,1431,0,1431,7,192000
2522,RM,7,2004,Lvl,0,2,970,970,739,1709,7,130000
7180,RL,5,1972,Lvl,390,1,864,864,0,864,5,127000
2280,RL,7,1976,Lvl,566,2,855,855,601,1456,6,148500
9416,RL,8,2007,Lvl,1126,3,1726,1726,0,1726,7,311872
25419,RL,8,1918,Lvl,1036,2,1360,1360,1360,3112,8,235000
5520,RM,8,1912,Lvl,0,0,929,755,929,2229,6,104000
9591,RL,7,2004,Lvl,1088,3,1713,1713,0,1713,8,274900
8546,RM,5,2003,Lvl,0,2,1121,1121,0,1121,4,140000
10125,RL,6,1977,Lvl,641,2,1279,1196,0,1279,6,171500
7000,RL,6,1924,Lvl,617,1,865,617,445,1310,6,112000
4438,RM,3,2004,Lvl,662,2,848,848,0,848,6,149000
3500,RM,5,1947,Lvl,312,1,720,720,564,1284,5,110000
11851,RL,5,1990,Lvl,0,2,1442,1424,0,1442,7,180500
13673,RL,8,1962,Lvl,0,1,1696,1140,0,1696,5,143900
12493,RL,6,1960,Lvl,419,1,1100,1100,0,1100,4,141000
14364,RL,7,1988,Low,1065,2,1180,1157,882,2062,7,277000
8250,RL,6,1964,Lvl,787,2,1092,1092,0,1092,6,145000
5604,RL,5,1925,Lvl,468,0,864,864,0,864,5,98000
10420,RL,6,2009,Lvl,36,2,1212,1212,0,1212,6,186000
8640,FV,7,2009,Lvl,822,2,932,900,920,1852,7,252678
13568,RL,5,1995,Lvl,716,2,990,990,0,990,5,156000
10900,RL,6,1977,Lvl,378,1,689,689,703,1392,6,161750
10011,RL,6,1957,Lvl,360,1,1236,1070,0,1236,5,134450
8450,RL,8,2004,Lvl,946,2,1436,1436,0,1436,7,210000
9906,RM,8,1925,Lvl,0,1,810,686,518,1328,4,107000
15660,RL,8,1939,Lvl,341,2,1137,798,817,1954,7,311500
3010,RL,5,2005,Lvl,16,2,1248,1248,0,1248,7,167240
8990,RL,5,2006,Lvl,0,2,1498,1498,0,1498,7,204900
8068,RL,8,2002,Lvl,0,2,1010,1010,1257,2267,6,200000
11475,RL,6,1975,Lvl,550,2,811,713,741,1552,6,179900
10500,RL,4,1971,Lvl,524,2,864,864,0,864,4,97000
13472,RL,8,2003,Lvl,56,3,2392,2392,0,2392,10,386250
1680,RM,6,1971,Lvl,0,1,630,630,672,1302,5,112000
9950,RL,9,1995,Lvl,565,3,1214,1203,1306,2520,7,290000
1869,RM,5,1970,Lvl,321,1,483,483,504,987,6,106000
8521,RL,5,1967,Lvl,842,1,912,912,0,912,5,125000
3182,RL,7,2005,Lvl,16,2,1555,1373,0,1555,7,192500
8760,RL,6,1959,Lvl,0,1,1194,1194,0,1194,6,148000
15138,RL,9,1995,Lvl,689,3,1490,1462,1304,2794,8,403000
1680,RM,5,1972,Lvl,0,1,483,483,504,987,6,94500
10650,RL,5,1976,Lvl,182,1,894,894,0,894,5,128200
7851,RL,8,2002,Lvl,625,2,860,860,1100,1960,6,216500
1680,RM,5,1971,Lvl,358,1,483,483,504,987,6,89500
8773,RL,6,2004,Lvl,24,2,1414,1414,0,1414,7,185500
9453,RL,7,1993,Lvl,402,2,1014,996,730,1744,7,194500
12030,RL,7,2007,Lvl,0,3,1694,1694,0,1694,8,318000
8741,RL,7,1945,Lvl,94,1,798,735,689,1487,6,113000
9000,FV,7,2008,Lvl,1078,2,1566,1566,0,1566,8,262500
3880,RM,4,1945,Lvl,329,0,866,686,0,866,5,110500
5000,RM,6,1900,Lvl,0,1,889,540,551,1440,5,79000
10762,RL,6,1980,Lvl,0,1,626,626,591,1217,6,120000
8880,RL,8,1994,Lvl,695,2,1222,948,888,2110,7,205000
10400,RL,6,1988,Lvl,929,2,1872,1845,0,1872,7,241500
9142,RM,9,1910,Lvl,0,1,908,1020,1020,1928,6,137000
11310,RL,5,1954,Lvl,0,2,1375,1367,0,1375,6,140000
11317,RL,8,2003,Lvl,0,2,840,840,828,1668,7,180000
159000,RL,7,1958,Low,697,2,1444,1444,700,2144,6,277000
5350,RL,6,1940,Lvl,0,0,1306,728,0,1306,3,76500
4750,RM,5,2006,HLS,1573,2,1625,1573,0,1625,8,235000
8366,RL,6,2004,Lvl,0,2,798,798,842,1640,6,173000
9350,RL,7,1964,Lvl,270,1,1302,1302,0,1302,6,158000
8400,RL,5,1957,Lvl,922,1,1314,1314,0,1314,5,145000
8738,RL,8,1999,Lvl,0,2,1005,975,1286,2291,7,230000
8791,FV,7,2003,Lvl,503,2,864,864,864,1728,6,207500
8814,RL,8,2006,Lvl,1334,2,1604,1604,0,1604,7,220000
12435,RL,7,2001,Lvl,361,2,963,963,829,1792,7,231500
12702,RM,4,1956,Lvl,0,1,882,0,0,882,5,97000
19296,RL,6,1962,Lvl,672,2,1382,1362,0,1382,6,176000
9588,RL,10,2007,Lvl,0,3,1482,1482,1092,2574,8,276000
8471,RL,6,1977,Lvl,506,2,1212,506,0,1212,6,151000
5500,RM,6,1929,Lvl,234,2,926,926,0,1316,5,130000
5232,RM,4,1925,Bnk,0,2,764,680,0,764,5,73000
12090,RL,7,1981,Lvl,588,2,1422,1422,0,1422,6,175500
11207,RL,8,1997,HLS,714,2,802,802,709,1511,6,185000
8400,RL,8,1939,Bnk,378,1,1052,720,720,2192,5,179500
6900,RM,4,1940,Lvl,403,1,778,740,0,778,5,120500
7917,RL,6,1976,Lvl,751,1,1113,1143,0,1113,6,148000
10728,FV,8,2006,Lvl,0,3,1095,1095,844,1939,8,266000
39104,RL,5,1954,Low,226,2,1363,1385,0,1363,7,241500
11764,RL,9,1999,Lvl,524,3,1164,1152,1106,2270,8,290000
9600,RL,6,1958,Lvl,620,1,1632,1240,0,1632,6,139000
8314,RL,5,1982,Lvl,546,1,816,816,0,816,5,124500
7264,RL,5,1925,Lvl,0,2,952,952,596,1548,7,205000
9196,RL,7,2003,Lvl,0,2,1560,1560,0,1560,7,201000
19138,RL,4,1951,Lvl,120,2,864,864,0,864,4,141000
14450,RL,8,2006,Lvl,0,3,2121,2121,0,2121,9,415298
10005,RL,8,1977,Lvl,392,2,1156,1160,866,2022,7,192000
11287,RL,7,1989,Lvl,421,2,1175,807,807,1982,7,228500
7200,FV,5,2006,Lvl,905,2,1262,1262,0,1262,6,185000
5063,RL,6,2007,Lvl,904,2,1314,1314,0,1314,7,207500
9612,RL,6,2008,Lvl,0,3,1468,1468,0,1468,8,244600
8012,RL,5,1992,Lvl,430,2,1575,1575,0,1575,6,179200
4251,FV,5,2006,Lvl,0,2,625,625,625,1250,7,164700
9786,RL,7,1962,Bnk,600,2,1085,912,649,1734,6,159000
8125,RL,5,1971,Lvl,614,0,858,858,0,858,4,88000
9819,RL,5,1967,Lvl,450,1,900,882,0,900,5,122000
8730,RL,7,1915,Lvl,0,1,698,698,698,1396,6,153575
15611,RL,8,2006,Lvl,0,2,1079,1079,840,1919,8,233230
5687,RL,9,1912,Bnk,210,0,936,780,780,1716,5,135900
11409,RL,8,1949,Lvl,292,1,1148,768,568,1716,5,131000
16659,RL,9,1977,Lvl,795,2,1468,795,795,2263,7,235000
9600,RL,7,1953,Lvl,1285,2,1644,1416,0,1644,6,167000
7937,RL,6,1984,Lvl,819,2,1003,1003,0,1003,6,142500
13710,RM,6,1950,Lvl,420,1,910,910,648,1558,5,152000
7399,FV,7,1997,Lvl,649,2,975,975,975,1950,7,239000
11700,RL,7,1968,Lvl,384,2,1041,702,702,1743,6,175000
14000,RL,6,1950,Lvl,0,1,1152,1092,0,1152,6,158500
15750,RL,5,1953,Lvl,841,1,1336,1165,0,1336,5,157000
16226,RL,9,1998,Lvl,281,2,1210,1028,1242,2452,8,267000
13704,RL,6,2001,Lvl,0,3,1541,1541,0,1541,7,205000
9800,RL,5,1972,Lvl,894,2,894,894,0,894,5,149900
18386,RM,10,1880,Lvl,0,3,1675,1470,1818,3493,7,295000
10386,RL,8,2004,Lvl,1464,3,2000,2000,0,2000,8,305900
13474,RL,8,1990,Lvl,700,3,1122,700,1121,2243,7,225000
7920,RM,6,1920,Lvl,0,0,1035,319,371,1406,6,89500
12342,RL,4,1940,Lvl,262,2,861,861,0,861,4,82500
12378,RL,8,2003,Lvl,1274,3,1944,1896,0,1944,9,360000
7685,RL,6,1993,Lvl,518,2,697,697,804,1501,6,165600
8000,RL,5,1948,Lvl,680,1,972,972,0,972,6,132000
7800,RM,5,1939,Lvl,507,2,793,793,325,1118,5,119900
215245,RL,8,1965,Low,1236,2,2036,2136,0,2036,7,375000
9600,RM,6,1925,Lvl,16,2,832,728,809,1641,7,178000
7795,RL,6,2004,Lvl,425,2,716,716,716,1432,7,188500
13005,RL,10,1980,Lvl,692,2,1153,845,1200,2353,7,260000
9000,FV,8,2006,Lvl,0,3,1088,1088,871,1959,8,270000
9900,RL,9,1993,Low,987,3,1372,1347,1274,2646,7,260000
14115,RL,6,1980,Lvl,1036,2,1472,1372,0,1472,7,187500
16259,RL,9,2006,Lvl,0,3,1249,1249,1347,2596,9,342643
12099,RL,10,2004,Lvl,970,3,1136,1136,1332,2468,8,354000
10380,RL,8,1986,Lvl,28,2,1553,1502,1177,2730,7,301000
5820,RM,6,1955,Lvl,256,1,1163,1162,0,1163,3,126175
11275,RL,11,1967,Lvl,0,2,1898,710,1080,2978,7,242000
5000,RM,5,1941,Lvl,116,2,803,720,0,803,5,87000
10846,RL,6,1993,Lvl,1619,2,1719,1719,0,1719,8,324000
11600,RL,7,1960,Lvl,565,1,1383,1383,0,1383,6,145250
11888,RL,10,1916,Bnk,0,2,1445,844,689,2134,6,214500
6402,RM,6,1920,Lvl,0,1,596,596,596,1192,5,78000
10624,RL,10,1964,Lvl,40,1,1728,1728,0,1728,5,119000
8176,RL,6,1958,Lvl,846,1,1056,1056,0,1056,5,139000
10655,RL,7,2003,Lvl,1124,3,1629,3206,0,1629,8,284000
8198,RM,6,2004,Lvl,720,2,1358,1358,0,1358,7,207000
9042,RL,7,1998,Lvl,828,2,943,943,695,1638,6,192000
164660,RL,7,1965,HLS,1249,2,1619,1499,167,1786,5,228950
14157,RL,8,2005,HLS,1249,3,1922,1922,0,1922,9,377426
9135,RL,7,2002,Lvl,810,2,1536,1536,0,1536,7,214000
14145,RL,8,1984,Lvl,213,2,1621,1208,0,1621,7,202500
12400,RL,6,1958,Lvl,585,1,1215,1215,0,1215,6,155000
14191,RL,9,2002,Lvl,0,2,993,967,915,1908,8,202900
8400,RH,4,1950,Lvl,0,1,841,721,0,841,4,82000
8544,RL,6,1949,Lvl,0,2,1040,0,0,1040,3,87500
8849,RL,6,2005,Lvl,28,2,1684,1684,0,1684,9,266000
2592,RM,4,1976,Lvl,129,1,536,536,576,1112,5,85000
6435,RL,6,1939,Lvl,0,1,972,972,605,1577,6,140200
12772,RL,5,1960,Lvl,498,1,958,958,0,958,6,151500
17600,RL,6,1960,Lvl,1270,2,1478,1478,0,1478,6,157500
2448,RL,6,2003,Lvl,573,2,764,764,862,1626,7,154000
20431,RL,10,2005,Lvl,1410,3,1848,1848,880,2728,9,437154
7820,RL,6,2007,Lvl,0,2,1869,1869,0,1869,9,318061
5271,RL,6,1986,Low,1082,2,1453,1453,0,1453,7,190000
9084,RL,5,1941,Lvl,236,1,616,616,495,1111,5,95000
8520,RM,5,1928,Lvl,0,2,720,624,0,720,6,105900
8400,RL,6,1940,Bnk,388,1,1192,940,403,1595,6,140000
11249,RL,6,1995,Lvl,334,2,1200,1200,0,1200,6,177500
9248,RL,6,1992,Lvl,560,2,1167,1158,0,1167,6,173000
4224,RM,6,1976,Lvl,874,2,1142,1142,0,1142,5,134000
6930,RL,6,1958,Lvl,300,1,1352,1062,0,1352,5,130000
12011,RL,7,1998,Lvl,956,2,1086,1086,838,1924,8,280000
7540,RL,5,1978,Lvl,773,2,912,888,0,912,6,156000
9144,RL,8,1940,Lvl,399,1,988,883,517,1505,5,145000
7301,RL,7,2003,Lvl,0,2,495,0,1427,1922,7,198500
1680,RM,5,1972,Lvl,162,1,483,483,504,987,6,118000
18800,RL,6,1976,Lvl,712,2,790,796,784,1574,6,190000
10690,RM,6,1920,Lvl,456,1,672,672,672,1344,5,147000
9500,RL,6,1963,Lvl,609,2,1394,1394,0,1394,6,159000
9150,RL,6,1962,Lvl,371,1,1431,1099,0,1431,6,165000
7800,RL,7,1954,Lvl,540,1,1268,1268,0,1268,5,132000
9830,RL,7,1959,Lvl,72,2,1287,1063,0,1287,5,162000
8121,RL,7,2000,Lvl,0,2,953,953,711,1664,6,172400
17120,RL,7,1959,Lvl,0,2,1120,0,468,1588,4,134432
7175,RL,4,1984,Lvl,623,1,752,744,0,752,6,125000
10634,RL,5,1953,Lvl,428,1,1319,608,0,1319,5,123000
8200,RL,8,2003,Lvl,0,2,847,847,1081,1928,7,219500
10020,RL,4,1922,Low,350,0,904,683,0,904,1,61000
8846,RL,5,1996,Lvl,298,2,914,870,0,914,5,148000
11143,FV,8,2004,Lvl,0,2,1580,1580,886,2466,8,340000
11394,RL,8,2010,Lvl,1445,3,1856,1856,0,1856,9,394432
8123,RL,7,2000,Lvl,0,2,1007,982,793,1800,6,179000
5000,RL,6,1924,Lvl,218,1,1026,1026,665,1691,5,127000
7200,FV,5,2006,Lvl,0,2,1301,1293,0,1301,7,187750
9245,RL,8,2006,Lvl,0,2,939,939,858,1797,7,213500
9000,RH,5,1928,Lvl,0,2,784,784,0,784,6,76000
53107,RL,9,1992,Low,985,2,1079,1580,874,1953,6,240000
3182,RL,6,2004,Lvl,24,2,1269,1256,0,1269,8,192000
8410,RL,8,1910,Lvl,0,0,658,658,526,1184,5,81000
7200,RL,6,1976,Lvl,631,1,1125,1041,0,1125,6,125000
9382,RL,6,1999,Lvl,0,2,1479,1468,0,1479,7,191000
12474,RL,9,2007,Lvl,1280,3,1742,1682,590,2332,10,426000
8405,RL,7,1900,Lvl,241,1,961,861,406,1367,5,119000
12209,RL,7,2001,Lvl,690,2,804,804,1157,1961,6,215000
